feature id,name,obs_freq,th_freq,dev (%)
1,JHipster,1.000000,1.000000,0.000000
2,Hibernate2ndLvlCache,0.640500,0.647166,1.030030
3,HazelCast,0.336500,0.323583,3.991870
4,EhCache,0.304000,0.323583,6.051920
5,Server,0.052500,0.051798,1.355850
6,MicroserviceApplication,0.037000,0.034735,6.521110
7,UaaServer,0.015500,0.017063,9.159110
8,BackEnd,1.000000,1.000000,0.000000
9,Gradle,0.496500,0.500000,0.700000
10,Maven,0.503500,0.500000,0.700000
11,Generator,1.000000,1.000000,0.000000
12,Authentication,1.000000,1.000000,0.000000
13,SocialLogin,0.426000,0.268129,58.878700
14,Database,0.999500,0.999391,0.010907
15,SpringWebSockets,0.947500,0.474101,99.851900
16,Libsass,0.947500,0.474101,99.851900
17,ClusteredSession,0.947500,0.474101,99.851900
18,InternationalizationSupport,1.000000,0.500000,100.000000
19,Docker,1.000000,0.500000,100.000000
20,TestingFrameworks,1.000000,1.000000,0.000000
21,Production,0.970000,0.970750,0.077260
22,MySQL,0.312500,0.323583,3.425090
23,MariaDB,0.326500,0.323583,0.901469
24,PostgreSQL,0.331000,0.323583,2.292150
25,SQL,0.970000,0.970750,0.077260
26,Cassandra,0.010000,0.010664,6.228320
27,MongoDB,0.019500,0.017977,8.473140
28,Development,0.970000,0.970750,0.077260
29,H2,0.652000,0.647166,0.746949
30,PostgreSQLDev,0.107000,0.107861,0.798250
31,MariaDBDev,0.110000,0.107861,1.983110
32,MySQLDev,0.101000,0.107861,6.360960
33,DiskBased,0.321000,0.323583,0.798250
34,InMemory,0.331000,0.323583,2.292150
35,ElasticSearch,0.970000,0.485375,99.845500
36,HTTPSession,0.295000,0.270567,9.030300
37,OAuth2,0.127500,0.134065,4.896880
38,Uaa,0.158000,0.170932,7.565580
39,JWT,0.419500,0.424436,1.162960
40,Protractor,0.947500,0.948202,0.074035
41,Gatling,1.000000,1.000000,0.000000
42,Cucumber,1.000000,1.000000,0.000000
43,Application,0.947500,0.948202,0.074035
44,MicroserviceGateway,0.262000,0.273004,4.030710
45,Monolithic,0.685500,0.675198,1.525770
