feature id,name,obs_freq,th_freq,dev (%)
1,JHipster,1.000000,1.000000,0.000000
2,Hibernate2ndLvlCache,0.631369,0.647166,2.440950
3,HazelCast,0.328671,0.323583,1.572390
4,EhCache,0.302697,0.323583,6.454600
5,Server,0.044456,0.051798,14.174800
6,MicroserviceApplication,0.027972,0.034735,19.470000
7,UaaServer,0.016484,0.017063,3.395110
8,BackEnd,1.000000,1.000000,0.000000
9,Gradle,0.499500,0.500000,0.100000
10,Maven,0.500500,0.500000,0.100000
11,Generator,1.000000,1.000000,0.000000
12,Authentication,1.000000,1.000000,0.000000
13,SocialLogin,0.268232,0.268129,0.038414
14,Database,1.000000,0.999391,0.060937
15,SpringWebSockets,0.472028,0.474101,0.437249
16,Libsass,0.498002,0.474101,5.041330
17,ClusteredSession,0.495504,0.474101,4.514440
18,InternationalizationSupport,0.495504,0.500000,0.899200
19,Docker,0.475524,0.500000,4.895200
20,TestingFrameworks,1.000000,1.000000,0.000000
21,Production,0.972527,0.970750,0.183054
22,MySQL,0.307692,0.323583,4.910950
23,MariaDB,0.335664,0.323583,3.733510
24,PostgreSQL,0.329171,0.323583,1.726910
25,SQL,0.972527,0.970750,0.183054
26,Cassandra,0.007493,0.010664,29.741500
27,MongoDB,0.019980,0.017977,11.143300
28,Development,0.972527,0.970750,0.183054
29,H2,0.640859,0.647166,0.974557
30,PostgreSQLDev,0.109391,0.107861,1.418490
31,MariaDBDev,0.121878,0.107861,12.995400
32,MySQLDev,0.100400,0.107861,6.917240
33,DiskBased,0.318681,0.323583,1.514910
34,InMemory,0.322178,0.323583,0.434201
35,ElasticSearch,0.493007,0.485375,1.572390
36,HTTPSession,0.289710,0.270567,7.075140
37,OAuth2,0.137862,0.134065,2.832210
38,Uaa,0.157343,0.170932,7.949950
39,JWT,0.415085,0.424436,2.203160
40,Protractor,0.955544,0.948202,0.774308
41,Gatling,1.000000,1.000000,0.000000
42,Cucumber,1.000000,1.000000,0.000000
43,Application,0.955544,0.948202,0.774308
44,MicroserviceGateway,0.268731,0.273004,1.565180
45,Monolithic,0.686813,0.675198,1.720240
