feature id,name,obs_freq,th_freq,dev (%)
1,CONFIG_VISUAL_STUDIO_8_0,0.501520,0.500168,0.270309
2,CONFIG_VISUAL_STUDIO_8_0_m,0.501520,0.500168,0.270309
3,CONFIG_SSL_X509_ORGANIZATION_UNIT_NAME,0.377360,0.376486,0.232147
4,CONFIG_SSL_X509_ORGANIZATION_UNIT_NAME_m,0.377360,0.376486,0.232147
5,CONFIG_AXTLSWRAP,0.499620,0.499497,0.024625
6,CONFIG_AXTLSWRAP_m,0.499620,0.499497,0.024625
7,CONFIG_BIGINT_MONTGOMERY,0.496700,0.500000,0.660000
8,CONFIG_BIGINT_MONTGOMERY_m,0.496700,0.500000,0.660000
9,CONFIG_BIGINT_BARRETT,0.503740,0.500000,0.748000
10,CONFIG_BIGINT_BARRETT_m,0.503740,0.500000,0.748000
11,CONFIG_PERL_LIB,0.000660,0.000444,48.756900
12,CONFIG_PERL_LIB_m,0.000660,0.000444,48.756900
13,CONFIG_WIN32_USE_CRYPTO_LIB,0.000600,0.000503,19.216700
14,CONFIG_WIN32_USE_CRYPTO_LIB_m,0.000600,0.000503,19.216700
15,CONFIG_JAVA_BINDINGS,0.791680,0.792830,0.145050
16,CONFIG_JAVA_BINDINGS_m,0.791680,0.792830,0.145050
17,CONFIG_JAVA_SAMPLES,0.378820,0.380732,0.502191
18,CONFIG_JAVA_SAMPLES_m,0.378820,0.380732,0.502191
19,CONFIG_SSL_TEST,0.083120,0.082343,0.944104
20,CONFIG_SSL_TEST_m,0.083120,0.082343,0.944104
21,CONFIG_DEBUG,0.337000,0.333501,1.049170
22,CONFIG_DEBUG_m,0.337000,0.333501,1.049170
23,CONFIG_VBNET_SAMPLES,0.339180,0.335940,0.964458
24,CONFIG_VBNET_SAMPLES_m,0.339180,0.335940,0.964458
25,CONFIG_PERL_SAMPLES,0.314920,0.317381,0.775409
26,CONFIG_PERL_SAMPLES_m,0.314920,0.317381,0.775409
27,CONFIG_BIGINT_SQUARE,0.624960,0.624782,0.028490
28,CONFIG_BIGINT_SQUARE_m,0.624960,0.624782,0.028490
29,CONFIG_HTTP_CGI_EXTENSIONS,0.474620,0.473203,0.299449
30,CONFIG_HTTP_CGI_EXTENSIONS_m,0.474620,0.473203,0.299449
31,CONFIG_OPENSSL_COMPATIBLE,0.498980,0.500000,0.204000
32,CONFIG_OPENSSL_COMPATIBLE_m,0.498980,0.500000,0.204000
33,CONFIG_CSHARP_BINDINGS,0.698580,0.698765,0.026475
34,CONFIG_CSHARP_BINDINGS_m,0.698580,0.698765,0.026475
35,CONFIG_JAVA_HOME,0.395600,0.396415,0.205593
36,CONFIG_JAVA_HOME_m,0.395600,0.396415,0.205593
37,CONFIG_BIGINT_KARATSUBA,0.750640,0.749738,0.120309
38,CONFIG_BIGINT_KARATSUBA_m,0.750640,0.749738,0.120309
39,CONFIG_VISUAL_STUDIO_8_0_BASE,0.000320,0.000336,4.626510
40,CONFIG_VISUAL_STUDIO_8_0_BASE_m,0.000320,0.000336,4.626510
41,CONFIG_PLATFORM_LINUX,0.500220,0.500000,0.044000
42,CONFIG_PLATFORM_LINUX_m,0.500220,0.500000,0.044000
43,CONFIG_VBNET_BINDINGS,0.701000,0.698765,0.319850
44,CONFIG_VBNET_BINDINGS_m,0.701000,0.698765,0.319850
45,CONFIG_SSL_X509_ORGANIZATION_NAME,0.376300,0.376486,0.049404
46,CONFIG_SSL_X509_ORGANIZATION_NAME_m,0.376300,0.376486,0.049404
47,CONFIG_PERFORMANCE_TESTING,0.499140,0.500000,0.172000
48,CONFIG_PERFORMANCE_TESTING_m,0.499140,0.500000,0.172000
49,CONFIG_PERL_CORE,0.000500,0.000444,12.694600
50,CONFIG_PERL_CORE_m,0.000500,0.000444,12.694600
51,CONFIG_HTTP_DIRECTORIES,0.502540,0.499995,0.509005
52,CONFIG_HTTP_DIRECTORIES_m,0.502540,0.499995,0.509005
53,CONFIG_SSL_PROT_HIGH,0.497520,0.500000,0.496000
54,CONFIG_SSL_PROT_HIGH_m,0.497520,0.500000,0.496000
55,CONFIG_VISUAL_STUDIO_7_0_BASE,0.000400,0.000336,19.216900
56,CONFIG_VISUAL_STUDIO_7_0_BASE_m,0.000400,0.000336,19.216900
57,CONFIG_LUA_BINDINGS,0.793620,0.792035,0.200117
58,CONFIG_LUA_BINDINGS_m,0.793620,0.792035,0.200117
59,CONFIG_SSL_CERT_VERIFICATION,0.500040,0.500000,0.008000
60,CONFIG_SSL_CERT_VERIFICATION_m,0.500040,0.500000,0.008000
61,CONFIG_BIGINT_CLASSICAL,0.497160,0.500000,0.568000
62,CONFIG_BIGINT_CLASSICAL_m,0.497160,0.500000,0.568000
63,CONFIG_SSL_SKELETON_MODE,0.000340,0.000349,2.618700
64,CONFIG_SSL_SKELETON_MODE_m,0.000340,0.000349,2.618700
65,CONFIG_HTTP_HTTPS_PORT,0.499100,0.499995,0.179002
66,CONFIG_HTTP_HTTPS_PORT_m,0.499100,0.499995,0.179002
67,CONFIG_SSL_EXPIRY_TIME,0.498700,0.499825,0.225079
68,CONFIG_SSL_EXPIRY_TIME_m,0.498700,0.499825,0.225079
69,CONFIG_HTTP_VERBOSE,0.498820,0.499995,0.235002
70,CONFIG_HTTP_VERBOSE_m,0.498820,0.499995,0.235002
71,CONFIG_HTTP_ENABLE_DIFFERENT_USER,0.673760,0.665990,1.166680
72,CONFIG_HTTP_ENABLE_DIFFERENT_USER_m,0.673760,0.665990,1.166680
73,CONFIG_BIGINT_CHECK_ON,0.502180,0.499825,0.471165
74,CONFIG_BIGINT_CHECK_ON_m,0.502180,0.499825,0.471165
75,CONFIG_HTTP_SESSION_CACHE_SIZE,0.496860,0.499995,0.627006
76,CONFIG_HTTP_SESSION_CACHE_SIZE_m,0.496860,0.499995,0.627006
77,CONFIG_CSHARP_SAMPLES,0.335980,0.335940,0.011907
78,CONFIG_CSHARP_SAMPLES_m,0.335980,0.335940,0.011907
79,HAVE_DOT_CONFIG,1.000000,1.000000,0.000000
80,HAVE_DOT_CONFIG_m,1.000000,1.000000,0.000000
81,CONFIG_BIGINT_SLIDING_WINDOW,0.501100,0.499825,0.255089
82,CONFIG_BIGINT_SLIDING_WINDOW_m,0.501100,0.499825,0.255089
83,CONFIG_USE_DEV_URANDOM,0.495960,0.499497,0.708112
84,CONFIG_USE_DEV_URANDOM_m,0.495960,0.499497,0.708112
85,CONFIG_HTTP_HAS_IPV6,0.500820,0.499492,0.265870
86,CONFIG_HTTP_HAS_IPV6_m,0.500820,0.499492,0.265870
87,CONFIG_SSL_SERVER_ONLY,0.202960,0.200105,1.426750
88,CONFIG_SSL_SERVER_ONLY_m,0.202960,0.200105,1.426750
89,CONFIG_SSL_X509_COMMON_NAME,0.374700,0.376486,0.474387
90,CONFIG_SSL_X509_COMMON_NAME_m,0.374700,0.376486,0.474387
91,CONFIG_HTTP_ENABLE_LUA,0.838120,0.841250,0.372065
92,CONFIG_HTTP_ENABLE_LUA_m,0.838120,0.841250,0.372065
93,CONFIG_SSL_PRIVATE_KEY_LOCATION,0.386840,0.388100,0.324659
94,CONFIG_SSL_PRIVATE_KEY_LOCATION_m,0.386840,0.388100,0.324659
95,CONFIG_X509_MAX_CA_CERTS,0.398180,0.399860,0.420147
96,CONFIG_X509_MAX_CA_CERTS_m,0.398180,0.399860,0.420147
97,CONFIG_SSL_PRIVATE_KEY_PASSWORD,0.256960,0.258733,0.685262
98,CONFIG_SSL_PRIVATE_KEY_PASSWORD_m,0.256960,0.258733,0.685262
99,CONFIG_SSL_ENABLE_V23_HANDSHAKE,0.504560,0.500000,0.912000
100,CONFIG_SSL_ENABLE_V23_HANDSHAKE_m,0.504560,0.500000,0.912000
101,CONFIG_SSL_PROT_MEDIUM,0.498900,0.500000,0.220000
102,CONFIG_SSL_PROT_MEDIUM_m,0.498900,0.500000,0.220000
103,CONFIG_SSL_ENABLE_CLIENT,0.501980,0.500000,0.396000
104,CONFIG_SSL_ENABLE_CLIENT_m,0.501980,0.500000,0.396000
105,CONFIG_SSL_X509_CERT_LOCATION,0.105900,0.105845,0.051963
106,CONFIG_SSL_X509_CERT_LOCATION_m,0.105900,0.105845,0.051963
107,CONFIG_VISUAL_STUDIO_7_0,0.499100,0.500168,0.213528
108,CONFIG_VISUAL_STUDIO_7_0_m,0.499100,0.500168,0.213528
109,CONFIG_HTTP_STATIC_BUILD,0.497520,0.499995,0.495005
110,CONFIG_HTTP_STATIC_BUILD_m,0.497520,0.499995,0.495005
111,CONFIG_HTTP_LUA_CGI_LAUNCHER,0.416460,0.420625,0.990193
112,CONFIG_HTTP_LUA_CGI_LAUNCHER_m,0.416460,0.420625,0.990193
113,CONFIG_SSL_GENERATE_X509_CERT,0.752240,0.752972,0.097215
114,CONFIG_SSL_GENERATE_X509_CERT_m,0.752240,0.752972,0.097215
115,CONFIG_HTTP_BUILD_LUA,0.418740,0.420625,0.448143
116,CONFIG_HTTP_BUILD_LUA_m,0.418740,0.420625,0.448143
117,CONFIG_HTTP_PORT,0.500060,0.499995,0.013000
118,CONFIG_HTTP_PORT_m,0.500060,0.499995,0.013000
119,CONFIG_SSL_HAS_PEM,0.626520,0.629192,0.424672
120,CONFIG_SSL_HAS_PEM_m,0.626520,0.629192,0.424672
