feature id,name,obs_freq,th_freq,dev (%)
1,feature_1,1.000000,1.000000,0.000000
2,feature_2,0.758000,0.750000,1.066670
3,feature_3,0.496000,0.500000,0.800000
4,feature_4,0.504000,0.500000,0.800000
5,feature_5,0.456000,0.500000,8.800000
6,feature_6,0.508000,0.500000,1.600000
7,feature_7,0.513000,0.500000,2.600000
8,feature_8,0.487000,0.500000,2.600000
9,feature_9,0.500000,0.500000,0.000000
10,feature_10,0.495000,0.500000,1.000000
11,feature_11,0.941000,0.937500,0.373333
12,feature_12,0.500000,0.500000,0.000000
13,feature_13,1.000000,1.000000,0.000000
14,feature_14,0.718000,0.697266,2.973610
15,feature_15,0.282000,0.302734,6.848920
16,feature_16,0.000000,0.000000,0.000000
17,feature_17,0.818000,0.822266,0.518810
18,feature_18,0.222000,0.250000,11.200000
19,feature_19,0.456000,0.500000,8.800000
20,feature_20,0.784000,0.799805,1.976110
21,feature_21,0.417000,0.410156,1.668630
22,feature_22,0.762000,0.750000,1.600000
23,feature_23,0.495000,0.500000,1.000000
24,feature_24,0.505000,0.500000,1.000000
25,feature_25,0.479000,0.500000,4.200000
26,feature_26,0.519000,0.500000,3.800000
27,feature_27,0.481000,0.500000,3.800000
28,feature_28,0.480000,0.500000,4.000000
29,feature_29,0.524000,0.527344,0.634121
30,feature_30,0.495000,0.500000,1.000000
31,feature_31,0.060000,0.054688,9.714290
32,feature_32,0.262000,0.250000,4.800000
33,feature_33,0.508000,0.500000,1.600000
34,feature_34,0.027000,0.031250,13.600000
35,feature_35,0.075000,0.062500,20.000000
36,feature_36,0.132000,0.125000,5.600000
37,feature_37,0.258000,0.250000,3.200000
38,feature_38,0.510000,0.500000,2.000000
39,feature_39,0.490000,0.500000,2.000000
40,feature_40,0.503000,0.500000,0.600000
41,feature_41,0.497000,0.500000,0.600000
42,feature_42,0.498000,0.500000,0.400000
43,feature_43,0.502000,0.500000,0.400000
44,feature_44,0.518000,0.500000,3.600000
45,feature_45,0.482000,0.500000,3.600000
46,feature_46,0.102000,0.093750,8.800000
47,feature_47,0.061000,0.062500,2.400000
48,feature_48,0.126000,0.125000,0.800000
49,feature_49,0.245000,0.250000,2.000000
50,feature_50,0.490000,0.500000,2.000000
51,feature_51,0.039000,0.031250,24.800000
52,feature_52,0.499000,0.500000,0.200000
53,feature_53,0.499000,0.500000,0.200000
54,feature_54,0.102000,0.093750,8.800000
55,feature_55,0.056000,0.062500,10.400000
56,feature_56,0.113000,0.125000,9.600000
57,feature_57,0.252000,0.250000,0.800000
58,feature_58,0.497000,0.500000,0.600000
59,feature_59,0.102000,0.093750,8.800000
60,feature_60,0.067000,0.062500,7.200000
61,feature_61,0.127000,0.125000,1.600000
62,feature_62,0.245000,0.250000,2.000000
63,feature_63,0.102000,0.093750,8.800000
64,feature_64,0.068000,0.062500,8.800000
65,feature_65,0.126000,0.125000,0.800000
66,feature_66,0.502000,0.500000,0.400000
67,feature_67,0.038000,0.031250,21.600000
68,feature_68,0.501000,0.500000,0.200000
69,feature_69,0.501000,0.500000,0.200000
