feature id,name,obs_freq,th_freq,dev (%)
1,feature_1,0.000000,1.000000,100.000000
2,feature_2,0.000000,0.750000,100.000000
3,feature_3,0.000000,0.500000,100.000000
4,feature_4,0.000000,0.500000,100.000000
5,feature_5,0.509491,0.500000,1.898200
6,feature_6,0.513487,0.500000,2.697400
7,feature_7,0.000000,0.500000,100.000000
8,feature_8,0.000000,0.500000,100.000000
9,feature_9,0.481518,0.500000,3.696400
10,feature_10,0.510490,0.500000,2.098000
11,feature_11,0.000000,0.937500,100.000000
12,feature_12,0.000000,0.500000,100.000000
13,feature_13,1.000000,1.000000,0.000000
14,feature_14,0.000000,0.697266,100.000000
15,feature_15,0.312687,0.302734,3.287700
16,feature_16,0.000000,0.000000,0.000000
17,feature_17,0.000000,0.822266,100.000000
18,feature_18,0.000000,0.250000,100.000000
19,feature_19,0.000000,0.500000,100.000000
20,feature_20,0.000000,0.799805,100.000000
21,feature_21,0.000000,0.410156,100.000000
22,feature_22,0.000000,0.750000,100.000000
23,feature_23,0.000000,0.500000,100.000000
24,feature_24,0.000000,0.500000,100.000000
25,feature_25,0.514486,0.500000,2.897200
26,feature_26,0.000000,0.500000,100.000000
27,feature_27,0.000000,0.500000,100.000000
28,feature_28,0.521479,0.500000,4.295800
29,feature_29,0.000000,0.527344,100.000000
30,feature_30,0.000000,0.500000,100.000000
31,feature_31,0.000000,0.054688,100.000000
32,feature_32,0.000000,0.250000,100.000000
33,feature_33,0.000000,0.500000,100.000000
34,feature_34,0.000000,0.031250,100.000000
35,feature_35,0.000000,0.062500,100.000000
36,feature_36,0.000000,0.125000,100.000000
37,feature_37,0.000000,0.250000,100.000000
38,feature_38,0.000000,0.500000,100.000000
39,feature_39,0.506494,0.500000,1.298800
40,feature_40,0.000000,0.500000,100.000000
41,feature_41,0.511489,0.500000,2.297800
42,feature_42,0.000000,0.500000,100.000000
43,feature_43,0.481518,0.500000,3.696400
44,feature_44,0.000000,0.500000,100.000000
45,feature_45,0.480519,0.500000,3.896200
46,feature_46,0.000000,0.093750,100.000000
47,feature_47,0.000000,0.062500,100.000000
48,feature_48,0.000000,0.125000,100.000000
49,feature_49,0.000000,0.250000,100.000000
50,feature_50,0.000000,0.500000,100.000000
51,feature_51,0.000000,0.031250,100.000000
52,feature_52,0.000000,0.500000,100.000000
53,feature_53,0.524476,0.500000,4.895200
54,feature_54,0.000000,0.093750,100.000000
55,feature_55,0.000000,0.062500,100.000000
