feature id,name,obs_freq,th_freq,dev (%)
1,CYGPKG_HAL_EXCEPTIONS,0.814000,0.828959,1.804550
2,CYGPRI_HAL_VIRTUAL_VECTOR_CONSOLE_CHANNEL_CONFIGURABLE,0.562000,0.499560,12.499000
3,CYGINT_ISO_STDLIB_SYSTEM,1.000000,1.000000,0.000000
4,CYGBLD_ISO_STDIO_FILEOPS_HEADER,1.000000,0.506145,97.571800
5,CYGPKG_IO_SERIAL_TTY_TTY3,0.509000,0.492308,3.390560
6,CYGHWR_HAL_ARM_SA11X0_UART1,0.977000,0.977773,0.079057
7,CYGINT_ISO_MALLINFO,1.000000,1.000000,0.000000
8,CYGPKG_KERNEL_SCHED,1.000000,1.000000,0.000000
9,CYGMFN_KERNEL_SYNCH_CONDVAR_WAIT_MUTEX,1.000000,0.500000,100.000000
10,CYGPKG_NS_DNS_DOMAINNAME,0.082000,0.105263,22.099900
11,CYGPKG_NS_DNS_DEFAULT,0.106000,0.105263,0.700151
12,CYGINT_IO_SERIAL_TERMIOS_TERMIOS_TTY,0.980000,0.984615,0.468711
13,CYGNUM_KERNEL_COUNTERS_RTC_RESOLUTION,1.000000,1.000000,0.000000
14,CYGBLD_ISO_C_TIME_TYPES_HEADER,1.000000,0.999810,0.019004
15,CYGPKG_SNMPAGENT_CFLAGS_REMOVE,0.109000,0.120602,9.620070
16,CYGBLD_ISO_POSIX_SLEEP_HEADER,1.000000,0.500000,100.000000
17,CYGINT_HAL_ARM_THUMB_ARCH,1.000000,0.999929,0.007100
18,CYGNUM_JFFS2_GS_THREAD_TICKS,0.466000,0.477949,2.500060
19,CYGNUM_VNC_SERVER_PIXEL_RGB555,0.999000,0.499350,100.060000
20,CYGSEM_KERNEL_THREADS_DESTRUCTORS_PER_THREAD,0.709000,0.473684,49.677800
21,CYGNUM_ERROR_ERRNO_TRACE_LEVEL,0.516000,0.490503,5.198130
22,CYGINT_ISO_STDIO_FILEPOS,1.000000,0.616275,62.265200
23,CYGBLD_ARCH_LDFLAGS,0.000000,0.000000,0.000000
24,CYGPKG_INFRA_TESTS,1.000000,1.000000,0.000000
25,CYGPKG_NET_FREEBSD_IPSEC6,0.252000,0.262692,4.070170
26,CYGINT_HAL_VIRTUAL_VECTOR_SUPPORT,1.000000,1.000000,0.000000
27,CYGOPT_PPP_DNS_CONFIGURE,0.994000,0.498112,99.553500
