feature id,name,obs_freq,th_freq,dev (%)
1,JHipster,1.000000,1.000000,0.000000
2,Hibernate2ndLvlCache,0.648650,0.647166,0.229251
3,HazelCast,0.321550,0.323583,0.628333
4,EhCache,0.327100,0.323583,1.086836
5,Server,0.049000,0.051798,5.401176
6,MicroserviceApplication,0.032800,0.034735,5.570526
7,UaaServer,0.016200,0.017063,5.056429
8,BackEnd,1.000000,1.000000,0.000000
9,Gradle,0.498250,0.500000,0.350000
10,Maven,0.501750,0.500000,0.350000
11,Generator,1.000000,1.000000,0.000000
12,Authentication,1.000000,1.000000,0.000000
13,SocialLogin,0.268750,0.268129,0.231534
14,Database,0.999400,0.999391,0.000939
15,SpringWebSockets,0.471450,0.474101,0.559197
16,Libsass,0.474400,0.474101,0.063033
17,ClusteredSession,0.475900,0.474101,0.379422
18,InternationalizationSupport,0.500850,0.500000,0.170000
19,Docker,0.499000,0.500000,0.200000
20,TestingFrameworks,1.000000,1.000000,0.000000
21,Production,0.970400,0.970750,0.036008
22,MySQL,0.324150,0.323583,0.175169
23,MariaDB,0.322550,0.323583,0.319294
24,PostgreSQL,0.323700,0.323583,0.036102
25,SQL,0.970400,0.970750,0.036008
26,Cassandra,0.010800,0.010664,1.273143
27,MongoDB,0.018200,0.017977,1.241356
28,Development,0.970400,0.970750,0.036008
29,H2,0.649800,0.647166,0.406949
30,PostgreSQLDev,0.107500,0.107861,0.334746
31,MariaDBDev,0.106500,0.107861,1.261864
32,MySQLDev,0.106600,0.107861,1.169153
33,DiskBased,0.323250,0.323583,0.102966
34,InMemory,0.326550,0.323583,0.916864
35,ElasticSearch,0.485500,0.485375,0.025800
36,HTTPSession,0.271700,0.270567,0.418851
37,OAuth2,0.135400,0.134065,0.996091
38,Uaa,0.167850,0.170932,1.803262
39,JWT,0.425050,0.424436,0.144587
40,Protractor,0.951000,0.948202,0.295051
41,Gatling,1.000000,1.000000,0.000000
42,Cucumber,1.000000,1.000000,0.000000
43,Application,0.951000,0.948202,0.295051
44,MicroserviceGateway,0.273950,0.273004,0.346417
45,Monolithic,0.677050,0.675198,0.274282
