feature id,name,obs_freq,th_freq,dev (%)
1,feature_1,0.502020,0.500000,0.404000
2,feature_2,0.502020,0.500000,0.404000
3,feature_3,0.496880,0.500000,0.624000
4,feature_4,0.496880,0.500000,0.624000
5,feature_5,0.500920,0.500000,0.184000
6,feature_6,0.500920,0.500000,0.184000
7,feature_7,0.498400,0.500000,0.320000
8,feature_8,0.498400,0.500000,0.320000
9,feature_9,0.501940,0.500000,0.388000
10,feature_10,0.501940,0.500000,0.388000
11,feature_11,0.705740,0.704846,0.126836
12,feature_12,0.705740,0.704846,0.126836
13,feature_13,0.998340,0.998532,0.019228
14,feature_14,0.998340,0.998532,0.019228
15,feature_15,0.470560,0.470588,0.005950
16,feature_16,0.470560,0.470588,0.005950
17,feature_17,0.667300,0.666667,0.094950
18,feature_18,0.667300,0.666667,0.094950
19,feature_19,0.495820,0.500000,0.836000
20,feature_20,0.495820,0.500000,0.836000
21,feature_21,0.467740,0.469897,0.459037
22,feature_22,0.467740,0.469897,0.459037
23,feature_23,0.666260,0.666667,0.061050
24,feature_24,0.666260,0.666667,0.061050
25,feature_25,0.669560,0.666667,0.433950
26,feature_26,0.669560,0.666667,0.433950
27,feature_27,0.667040,0.666667,0.055950
28,feature_28,0.667040,0.666667,0.055950
29,feature_29,0.500880,0.500000,0.176000
30,feature_30,0.500880,0.500000,0.176000
31,feature_31,0.797200,0.798825,0.203424
32,feature_32,0.797200,0.798825,0.203424
33,feature_33,0.000000,0.000000,0.000000
34,feature_34,0.000000,0.000000,0.000000
35,feature_35,0.503520,0.500000,0.704000
36,feature_36,0.503520,0.500000,0.704000
37,feature_37,0.502100,0.500000,0.420000
38,feature_38,0.502100,0.500000,0.420000
39,feature_39,0.401720,0.399413,0.577598
40,feature_40,0.401720,0.399413,0.577598
41,feature_41,0.499120,0.500000,0.176000
42,feature_42,0.499120,0.500000,0.176000
43,feature_43,0.469040,0.470588,0.328950
44,feature_44,0.469040,0.470588,0.328950
45,feature_45,0.496280,0.500000,0.744000
46,feature_46,0.496280,0.500000,0.744000
47,feature_47,0.500480,0.500000,0.096000
48,feature_48,0.500480,0.500000,0.096000
49,feature_49,0.000000,0.000000,0.000000
50,feature_50,0.000000,0.000000,0.000000
51,feature_51,0.334600,0.333333,0.380100
52,feature_52,0.334600,0.333333,0.380100
53,feature_53,0.495380,0.500000,0.924000
54,feature_54,0.495380,0.500000,0.924000
55,feature_55,0.331440,0.333333,0.567901
56,feature_56,0.331440,0.333333,0.567901
57,feature_57,0.939220,0.941176,0.207825
58,feature_58,0.939220,0.941176,0.207825
59,feature_59,0.500440,0.500000,0.088000
60,feature_60,0.500440,0.500000,0.088000
61,feature_61,0.399740,0.399413,0.081870
62,feature_62,0.399740,0.399413,0.081870
63,feature_63,0.236700,0.234949,0.745268
64,feature_64,0.236700,0.234949,0.745268
65,feature_65,0.470940,0.470588,0.074800
66,feature_66,0.470940,0.470588,0.074800
67,feature_67,0.496580,0.500000,0.684000
68,feature_68,0.496580,0.500000,0.684000
69,feature_69,0.334580,0.333333,0.374100
70,feature_70,0.334580,0.333333,0.374100
71,feature_71,0.498700,0.500000,0.260000
72,feature_72,0.498700,0.500000,0.260000
73,feature_73,0.499620,0.500000,0.076000
74,feature_74,0.499620,0.500000,0.076000
75,feature_75,0.501500,0.499266,0.447457
76,feature_76,0.501500,0.499266,0.447457
77,feature_77,0.497680,0.499266,0.317666
78,feature_78,0.497680,0.499266,0.317666
79,feature_79,0.665280,0.666667,0.208050
80,feature_80,0.665280,0.666667,0.208050
81,feature_81,0.469420,0.469897,0.101512
82,feature_82,0.469420,0.469897,0.101512
83,feature_83,0.498460,0.500000,0.308000
84,feature_84,0.498460,0.500000,0.308000
85,feature_85,0.471380,0.470588,0.168300
86,feature_86,0.471380,0.470588,0.168300
87,feature_87,0.500600,0.500000,0.120000
88,feature_88,0.500600,0.500000,0.120000
89,feature_89,0.500540,0.500000,0.108000
90,feature_90,0.500540,0.500000,0.108000
91,feature_91,0.501660,0.500000,0.332000
92,feature_92,0.501660,0.500000,0.332000
93,feature_93,0.497640,0.500000,0.472000
94,feature_94,0.497640,0.500000,0.472000
95,feature_95,0.000000,0.000000,0.000000
96,feature_96,0.000000,0.000000,0.000000
97,feature_97,0.000000,0.000000,0.000000
98,feature_98,0.000000,0.000000,0.000000
99,feature_99,0.670060,0.666667,0.508950
100,feature_100,0.670060,0.666667,0.508950
101,feature_101,0.498260,0.499266,0.201496
102,feature_102,0.498260,0.499266,0.201496
103,feature_103,0.499340,0.500000,0.132000
104,feature_104,0.499340,0.500000,0.132000
105,feature_105,0.499340,0.500000,0.132000
106,feature_106,0.499340,0.500000,0.132000
107,feature_107,0.472400,0.469897,0.532670
108,feature_108,0.472400,0.469897,0.532670
109,feature_109,0.502160,0.500000,0.432000
110,feature_110,0.502160,0.500000,0.432000
111,feature_111,0.330280,0.333333,0.915901
112,feature_112,0.330280,0.333333,0.915901
113,feature_113,0.496920,0.500000,0.616000
114,feature_114,0.496920,0.500000,0.616000
115,feature_115,0.503440,0.500000,0.688000
116,feature_116,0.503440,0.500000,0.688000
