file,time,cmd_output,err_output,Uniform,Timeout
/home/samplingfm/Benchmarks/V7/s1238a_7_4.cnf,0.432,"b""there are : 704 integer variables\nthere are : 704 integer variables\ncould not create dict from comments, faking it with integer variables in the 'p cnf' header\nExperiment: 0     of     1\nconstantFactor:39   boundFactor: 14.541336623567457   logBoundFactor: 3.8620879811712894  \ntj: 1789   totalLoops: 2     beta: 0.8181818181818182 epsilon: 0.3       \nnumSolutions: 568   loThresh:82     hiThresh: 485   \n*** Progress *** i: 0 j: 2 ---- 0 / 3578\nUsing sampler: DistanceBasedSampling\ncmd:  mono ./samplers/distribution-aware/CommandLine.exe /tmp/s1238a_7_4.a\n""","b'sh: 1: mono: not found\nTraceback (most recent call last):\n  File ""barbarik.py"", line 1089, in <module>\n    ok, breakExperiment = exp.one_experiment(experiment, j, i, numExperiments, tj)\n  File ""barbarik.py"", line 962, in one_experiment\n    self.inputFile, 1, self.samplerType, self.indVarList, newSeed)\n  File ""barbarik.py"", line 199, in getSolutionFromSampler\n    sols =  SolutionRetriver.getSolutionFromDistAware(*topass_withseed)            \n  File ""barbarik.py"", line 372, in getSolutionFromDistAware\n    with open(tempOutputFile, \'r\') as f:\nFileNotFoundError: [Errno 2] No such file or directory: \'/tmp/s1238a_7_4.txt\'\n'",N/A,FALSE
/home/samplingfm/Benchmarks/V7/s420_new1_7_4.cnf,0.325,"b""there are : 312 integer variables\nthere are : 312 integer variables\ncould not create dict from comments, faking it with integer variables in the 'p cnf' header\nExperiment: 0     of     1\nconstantFactor:39   boundFactor: 14.541336623567457   logBoundFactor: 3.8620879811712894  \ntj: 1789   totalLoops: 2     beta: 0.8181818181818182 epsilon: 0.3       \nnumSolutions: 568   loThresh:82     hiThresh: 485   \n*** Progress *** i: 0 j: 2 ---- 0 / 3578\nUsing sampler: DistanceBasedSampling\ncmd:  mono ./samplers/distribution-aware/CommandLine.exe /tmp/s420_new1_7_4.a\n""","b'sh: 1: mono: not found\nTraceback (most recent call last):\n  File ""barbarik.py"", line 1089, in <module>\n    ok, breakExperiment = exp.one_experiment(experiment, j, i, numExperiments, tj)\n  File ""barbarik.py"", line 962, in one_experiment\n    self.inputFile, 1, self.samplerType, self.indVarList, newSeed)\n  File ""barbarik.py"", line 199, in getSolutionFromSampler\n    sols =  SolutionRetriver.getSolutionFromDistAware(*topass_withseed)            \n  File ""barbarik.py"", line 372, in getSolutionFromDistAware\n    with open(tempOutputFile, \'r\') as f:\nFileNotFoundError: [Errno 2] No such file or directory: \'/tmp/s420_new1_7_4.txt\'\n'",N/A,FALSE
/home/samplingfm/Benchmarks/V7/s713_7_4.cnf,0.329,"b""there are : 527 integer variables\nthere are : 527 integer variables\ncould not create dict from comments, faking it with integer variables in the 'p cnf' header\nExperiment: 0     of     1\nconstantFactor:39   boundFactor: 14.541336623567457   logBoundFactor: 3.8620879811712894  \ntj: 1789   totalLoops: 2     beta: 0.8181818181818182 epsilon: 0.3       \nnumSolutions: 568   loThresh:82     hiThresh: 485   \n*** Progress *** i: 0 j: 2 ---- 0 / 3578\nUsing sampler: DistanceBasedSampling\ncmd:  mono ./samplers/distribution-aware/CommandLine.exe /tmp/s713_7_4.a\n""","b'sh: 1: mono: not found\nTraceback (most recent call last):\n  File ""barbarik.py"", line 1089, in <module>\n    ok, breakExperiment = exp.one_experiment(experiment, j, i, numExperiments, tj)\n  File ""barbarik.py"", line 962, in one_experiment\n    self.inputFile, 1, self.samplerType, self.indVarList, newSeed)\n  File ""barbarik.py"", line 199, in getSolutionFromSampler\n    sols =  SolutionRetriver.getSolutionFromDistAware(*topass_withseed)            \n  File ""barbarik.py"", line 372, in getSolutionFromDistAware\n    with open(tempOutputFile, \'r\') as f:\nFileNotFoundError: [Errno 2] No such file or directory: \'/tmp/s713_7_4.txt\'\n'",N/A,FALSE
/home/samplingfm/Benchmarks/V7/s953a_7_4.cnf,0.343,"b""there are : 533 integer variables\nthere are : 533 integer variables\ncould not create dict from comments, faking it with integer variables in the 'p cnf' header\nExperiment: 0     of     1\nconstantFactor:39   boundFactor: 14.541336623567457   logBoundFactor: 3.8620879811712894  \ntj: 1789   totalLoops: 2     beta: 0.8181818181818182 epsilon: 0.3       \nnumSolutions: 568   loThresh:82     hiThresh: 485   \n*** Progress *** i: 0 j: 2 ---- 0 / 3578\nUsing sampler: DistanceBasedSampling\ncmd:  mono ./samplers/distribution-aware/CommandLine.exe /tmp/s953a_7_4.a\n""","b'sh: 1: mono: not found\nTraceback (most recent call last):\n  File ""barbarik.py"", line 1089, in <module>\n    ok, breakExperiment = exp.one_experiment(experiment, j, i, numExperiments, tj)\n  File ""barbarik.py"", line 962, in one_experiment\n    self.inputFile, 1, self.samplerType, self.indVarList, newSeed)\n  File ""barbarik.py"", line 199, in getSolutionFromSampler\n    sols =  SolutionRetriver.getSolutionFromDistAware(*topass_withseed)            \n  File ""barbarik.py"", line 372, in getSolutionFromDistAware\n    with open(tempOutputFile, \'r\') as f:\nFileNotFoundError: [Errno 2] No such file or directory: \'/tmp/s953a_7_4.txt\'\n'",N/A,FALSE
/home/samplingfm/Benchmarks/V7/s420_new_7_4.cnf,0.323,"b""there are : 312 integer variables\nthere are : 312 integer variables\ncould not create dict from comments, faking it with integer variables in the 'p cnf' header\nExperiment: 0     of     1\nconstantFactor:39   boundFactor: 14.541336623567457   logBoundFactor: 3.8620879811712894  \ntj: 1789   totalLoops: 2     beta: 0.8181818181818182 epsilon: 0.3       \nnumSolutions: 568   loThresh:82     hiThresh: 485   \n*** Progress *** i: 0 j: 2 ---- 0 / 3578\nUsing sampler: DistanceBasedSampling\ncmd:  mono ./samplers/distribution-aware/CommandLine.exe /tmp/s420_new_7_4.a\n""","b'sh: 1: mono: not found\nTraceback (most recent call last):\n  File ""barbarik.py"", line 1089, in <module>\n    ok, breakExperiment = exp.one_experiment(experiment, j, i, numExperiments, tj)\n  File ""barbarik.py"", line 962, in one_experiment\n    self.inputFile, 1, self.samplerType, self.indVarList, newSeed)\n  File ""barbarik.py"", line 199, in getSolutionFromSampler\n    sols =  SolutionRetriver.getSolutionFromDistAware(*topass_withseed)            \n  File ""barbarik.py"", line 372, in getSolutionFromDistAware\n    with open(tempOutputFile, \'r\') as f:\nFileNotFoundError: [Errno 2] No such file or directory: \'/tmp/s420_new_7_4.txt\'\n'",N/A,FALSE
/home/samplingfm/Benchmarks/V7/s1488_7_4.cnf,0.330,"b""there are : 872 integer variables\nthere are : 872 integer variables\ncould not create dict from comments, faking it with integer variables in the 'p cnf' header\nExperiment: 0     of     1\nconstantFactor:39   boundFactor: 14.541336623567457   logBoundFactor: 3.8620879811712894  \ntj: 1789   totalLoops: 2     beta: 0.8181818181818182 epsilon: 0.3       \nnumSolutions: 568   loThresh:82     hiThresh: 485   \n*** Progress *** i: 0 j: 2 ---- 0 / 3578\nUsing sampler: DistanceBasedSampling\ncmd:  mono ./samplers/distribution-aware/CommandLine.exe /tmp/s1488_7_4.a\n""","b'sh: 1: mono: not found\nTraceback (most recent call last):\n  File ""barbarik.py"", line 1089, in <module>\n    ok, breakExperiment = exp.one_experiment(experiment, j, i, numExperiments, tj)\n  File ""barbarik.py"", line 962, in one_experiment\n    self.inputFile, 1, self.samplerType, self.indVarList, newSeed)\n  File ""barbarik.py"", line 199, in getSolutionFromSampler\n    sols =  SolutionRetriver.getSolutionFromDistAware(*topass_withseed)            \n  File ""barbarik.py"", line 372, in getSolutionFromDistAware\n    with open(tempOutputFile, \'r\') as f:\nFileNotFoundError: [Errno 2] No such file or directory: \'/tmp/s1488_7_4.txt\'\n'",N/A,FALSE
/home/samplingfm/Benchmarks/V7/s298_7_4.cnf,0.325,"b""there are : 223 integer variables\nthere are : 223 integer variables\ncould not create dict from comments, faking it with integer variables in the 'p cnf' header\nExperiment: 0     of     1\nconstantFactor:39   boundFactor: 14.541336623567457   logBoundFactor: 3.8620879811712894  \ntj: 1789   totalLoops: 2     beta: 0.8181818181818182 epsilon: 0.3       \nnumSolutions: 568   loThresh:82     hiThresh: 485   \n*** Progress *** i: 0 j: 2 ---- 0 / 3578\nUsing sampler: DistanceBasedSampling\ncmd:  mono ./samplers/distribution-aware/CommandLine.exe /tmp/s298_7_4.a\n""","b'sh: 1: mono: not found\nTraceback (most recent call last):\n  File ""barbarik.py"", line 1089, in <module>\n    ok, breakExperiment = exp.one_experiment(experiment, j, i, numExperiments, tj)\n  File ""barbarik.py"", line 962, in one_experiment\n    self.inputFile, 1, self.samplerType, self.indVarList, newSeed)\n  File ""barbarik.py"", line 199, in getSolutionFromSampler\n    sols =  SolutionRetriver.getSolutionFromDistAware(*topass_withseed)            \n  File ""barbarik.py"", line 372, in getSolutionFromDistAware\n    with open(tempOutputFile, \'r\') as f:\nFileNotFoundError: [Errno 2] No such file or directory: \'/tmp/s298_7_4.txt\'\n'",N/A,FALSE
/home/samplingfm/Benchmarks/V7/s35932_7_4.cnf,0.508,"b""there are : 17849 integer variables\nthere are : 17849 integer variables\ncould not create dict from comments, faking it with integer variables in the 'p cnf' header\nExperiment: 0     of     1\nconstantFactor:39   boundFactor: 14.541336623567457   logBoundFactor: 3.8620879811712894  \ntj: 1789   totalLoops: 2     beta: 0.8181818181818182 epsilon: 0.3       \nnumSolutions: 568   loThresh:82     hiThresh: 485   \n*** Progress *** i: 0 j: 2 ---- 0 / 3578\nUsing sampler: DistanceBasedSampling\ncmd:  mono ./samplers/distribution-aware/CommandLine.exe /tmp/s35932_7_4.a\n""","b'sh: 1: mono: not found\nTraceback (most recent call last):\n  File ""barbarik.py"", line 1089, in <module>\n    ok, breakExperiment = exp.one_experiment(experiment, j, i, numExperiments, tj)\n  File ""barbarik.py"", line 962, in one_experiment\n    self.inputFile, 1, self.samplerType, self.indVarList, newSeed)\n  File ""barbarik.py"", line 199, in getSolutionFromSampler\n    sols =  SolutionRetriver.getSolutionFromDistAware(*topass_withseed)            \n  File ""barbarik.py"", line 372, in getSolutionFromDistAware\n    with open(tempOutputFile, \'r\') as f:\nFileNotFoundError: [Errno 2] No such file or directory: \'/tmp/s35932_7_4.txt\'\n'",N/A,FALSE
/home/samplingfm/Benchmarks/V7/s27_new_7_4.cnf,0.300,"b""there are : 17 integer variables\nthere are : 17 integer variables\ncould not create dict from comments, faking it with integer variables in the 'p cnf' header\nExperiment: 0     of     1\nconstantFactor:39   boundFactor: 14.541336623567457   logBoundFactor: 3.8620879811712894  \ntj: 1789   totalLoops: 2     beta: 0.8181818181818182 epsilon: 0.3       \nnumSolutions: 568   loThresh:82     hiThresh: 485   \n*** Progress *** i: 0 j: 2 ---- 0 / 3578\nUsing sampler: DistanceBasedSampling\ncmd:  mono ./samplers/distribution-aware/CommandLine.exe /tmp/s27_new_7_4.a\n""","b'sh: 1: mono: not found\nTraceback (most recent call last):\n  File ""barbarik.py"", line 1089, in <module>\n    ok, breakExperiment = exp.one_experiment(experiment, j, i, numExperiments, tj)\n  File ""barbarik.py"", line 962, in one_experiment\n    self.inputFile, 1, self.samplerType, self.indVarList, newSeed)\n  File ""barbarik.py"", line 199, in getSolutionFromSampler\n    sols =  SolutionRetriver.getSolutionFromDistAware(*topass_withseed)            \n  File ""barbarik.py"", line 372, in getSolutionFromDistAware\n    with open(tempOutputFile, \'r\') as f:\nFileNotFoundError: [Errno 2] No such file or directory: \'/tmp/s27_new_7_4.txt\'\n'",N/A,FALSE
/home/samplingfm/Benchmarks/V7/s510_7_4.cnf,0.325,"b""there are : 316 integer variables\nthere are : 316 integer variables\ncould not create dict from comments, faking it with integer variables in the 'p cnf' header\nExperiment: 0     of     1\nconstantFactor:39   boundFactor: 14.541336623567457   logBoundFactor: 3.8620879811712894  \ntj: 1789   totalLoops: 2     beta: 0.8181818181818182 epsilon: 0.3       \nnumSolutions: 568   loThresh:82     hiThresh: 485   \n*** Progress *** i: 0 j: 2 ---- 0 / 3578\nUsing sampler: DistanceBasedSampling\ncmd:  mono ./samplers/distribution-aware/CommandLine.exe /tmp/s510_7_4.a\n""","b'sh: 1: mono: not found\nTraceback (most recent call last):\n  File ""barbarik.py"", line 1089, in <module>\n    ok, breakExperiment = exp.one_experiment(experiment, j, i, numExperiments, tj)\n  File ""barbarik.py"", line 962, in one_experiment\n    self.inputFile, 1, self.samplerType, self.indVarList, newSeed)\n  File ""barbarik.py"", line 199, in getSolutionFromSampler\n    sols =  SolutionRetriver.getSolutionFromDistAware(*topass_withseed)            \n  File ""barbarik.py"", line 372, in getSolutionFromDistAware\n    with open(tempOutputFile, \'r\') as f:\nFileNotFoundError: [Errno 2] No such file or directory: \'/tmp/s510_7_4.txt\'\n'",N/A,FALSE
