file,time,cmd_output,err_output,Uniform,Timeout
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case126.cnf,1100.190,b'Experiment: 0     of     1\nconstantFactor:39   boundFactor: 14.541336623567457   logBoundFactor: 3.8620879811712894  \ntj: 1789   totalLoops: 2     beta: 0.8181818181818182 epsilon: 0.3       \nnumSolutions: 568   loThresh:82     hiThresh: 485   \n*** Progress *** i: 0 j: 2 ---- 0 / 3578\nUsing sampler: SMARCH\ncmd:  python3 ./samplers/smarch_mp.py -p 4 -o /home/samplingfm/Benchmarks/Blasted_Real /home/samplingfm/Benchmarks/Blasted_Real/blasted_case126.cnf 1 > /dev/null 2>&1\n/home/samplingfm/Benchmarks/Blasted_Real/blasted_case126_1.samples\nNumber of solutions returned by sampler: 1\nUsing sampler: KUS\ncmd:  python3  KUS.py --samples=1 --outputfile /tmp/blasted_case126.txt /home/samplingfm/Benchmarks/Blasted_Real/blasted_case126.cnf > /dev/null 2>&1\nNumber of solutions returned by sampler: 1\nUsing sampler: SMARCH\ncmd:  python3 ./samplers/smarch_mp.py -p 4 -o /tmp /tmp/blasted_case126_t.cnf 568 > /dev/null 2>&1\n/tmp/blasted_case126_t_568.samples\nNumber of solutions returned by sampler: 1\nbaseMap: 1      numSolutions: 568    SolutionsCount: 1      loThresh: 82     hiThresh: 485   \nsampler: SMARCH   i: 1    isUniform: 0    TotalSolutionsGenerated: 569   \nexp:0 RejectIteration:1  Loop:2 TotalSolutionsGenerated:569 TotalUniformSamples:1\n',b'',False,FALSE
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case117.cnf,1136.761,b'Experiment: 0     of     1\nconstantFactor:39   boundFactor: 14.541336623567457   logBoundFactor: 3.8620879811712894  \ntj: 1789   totalLoops: 2     beta: 0.8181818181818182 epsilon: 0.3       \nnumSolutions: 568   loThresh:82     hiThresh: 485   \n*** Progress *** i: 0 j: 2 ---- 0 / 3578\nUsing sampler: SMARCH\ncmd:  python3 ./samplers/smarch_mp.py -p 4 -o /home/samplingfm/Benchmarks/Blasted_Real /home/samplingfm/Benchmarks/Blasted_Real/blasted_case117.cnf 1 > /dev/null 2>&1\n/home/samplingfm/Benchmarks/Blasted_Real/blasted_case117_1.samples\nNumber of solutions returned by sampler: 1\nUsing sampler: KUS\ncmd:  python3  KUS.py --samples=1 --outputfile /tmp/blasted_case117.txt /home/samplingfm/Benchmarks/Blasted_Real/blasted_case117.cnf > /dev/null 2>&1\nNumber of solutions returned by sampler: 1\nUsing sampler: SMARCH\ncmd:  python3 ./samplers/smarch_mp.py -p 4 -o /tmp /tmp/blasted_case117_t.cnf 568 > /dev/null 2>&1\n/tmp/blasted_case117_t_568.samples\nNumber of solutions returned by sampler: 1\nbaseMap: 1      numSolutions: 568    SolutionsCount: 1      loThresh: 82     hiThresh: 485   \nsampler: SMARCH   i: 1    isUniform: 0    TotalSolutionsGenerated: 569   \nexp:0 RejectIteration:1  Loop:2 TotalSolutionsGenerated:569 TotalUniformSamples:1\n',b'',False,FALSE
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case43.cnf,833.789,b'Experiment: 0     of     1\nconstantFactor:39   boundFactor: 14.541336623567457   logBoundFactor: 3.8620879811712894  \ntj: 1789   totalLoops: 2     beta: 0.8181818181818182 epsilon: 0.3       \nnumSolutions: 568   loThresh:82     hiThresh: 485   \n*** Progress *** i: 0 j: 2 ---- 0 / 3578\nUsing sampler: SMARCH\ncmd:  python3 ./samplers/smarch_mp.py -p 4 -o /home/samplingfm/Benchmarks/Blasted_Real /home/samplingfm/Benchmarks/Blasted_Real/blasted_case43.cnf 1 > /dev/null 2>&1\n/home/samplingfm/Benchmarks/Blasted_Real/blasted_case43_1.samples\nNumber of solutions returned by sampler: 1\nUsing sampler: KUS\ncmd:  python3  KUS.py --samples=1 --outputfile /tmp/blasted_case43.txt /home/samplingfm/Benchmarks/Blasted_Real/blasted_case43.cnf > /dev/null 2>&1\nNumber of solutions returned by sampler: 1\nUsing sampler: SMARCH\ncmd:  python3 ./samplers/smarch_mp.py -p 4 -o /tmp /tmp/blasted_case43_t.cnf 568 > /dev/null 2>&1\n/tmp/blasted_case43_t_568.samples\nNumber of solutions returned by sampler: 1\nbaseMap: 1      numSolutions: 568    SolutionsCount: 1      loThresh: 82     hiThresh: 485   \nsampler: SMARCH   i: 1    isUniform: 0    TotalSolutionsGenerated: 569   \nexp:0 RejectIteration:1  Loop:2 TotalSolutionsGenerated:569 TotalUniformSamples:1\n',b'',False,FALSE
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case21.cnf,679.389,b'Experiment: 0     of     1\nconstantFactor:39   boundFactor: 14.541336623567457   logBoundFactor: 3.8620879811712894  \ntj: 1789   totalLoops: 2     beta: 0.8181818181818182 epsilon: 0.3       \nnumSolutions: 568   loThresh:82     hiThresh: 485   \n*** Progress *** i: 0 j: 2 ---- 0 / 3578\nUsing sampler: SMARCH\ncmd:  python3 ./samplers/smarch_mp.py -p 4 -o /home/samplingfm/Benchmarks/Blasted_Real /home/samplingfm/Benchmarks/Blasted_Real/blasted_case21.cnf 1 > /dev/null 2>&1\n/home/samplingfm/Benchmarks/Blasted_Real/blasted_case21_1.samples\nNumber of solutions returned by sampler: 1\nUsing sampler: KUS\ncmd:  python3  KUS.py --samples=1 --outputfile /tmp/blasted_case21.txt /home/samplingfm/Benchmarks/Blasted_Real/blasted_case21.cnf > /dev/null 2>&1\nNumber of solutions returned by sampler: 1\nUsing sampler: SMARCH\ncmd:  python3 ./samplers/smarch_mp.py -p 4 -o /tmp /tmp/blasted_case21_t.cnf 568 > /dev/null 2>&1\n/tmp/blasted_case21_t_568.samples\nNumber of solutions returned by sampler: 1\nbaseMap: 1      numSolutions: 568    SolutionsCount: 1      loThresh: 82     hiThresh: 485   \nsampler: SMARCH   i: 1    isUniform: 0    TotalSolutionsGenerated: 569   \nexp:0 RejectIteration:1  Loop:2 TotalSolutionsGenerated:569 TotalUniformSamples:1\n',b'',False,FALSE
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case140.cnf,3547.760,b'Experiment: 0     of     1\nconstantFactor:39   boundFactor: 14.541336623567457   logBoundFactor: 3.8620879811712894  \ntj: 1789   totalLoops: 2     beta: 0.8181818181818182 epsilon: 0.3       \nnumSolutions: 568   loThresh:82     hiThresh: 485   \n*** Progress *** i: 0 j: 2 ---- 0 / 3578\nUsing sampler: SMARCH\ncmd:  python3 ./samplers/smarch_mp.py -p 4 -o /home/samplingfm/Benchmarks/Blasted_Real /home/samplingfm/Benchmarks/Blasted_Real/blasted_case140.cnf 1 > /dev/null 2>&1\n/home/samplingfm/Benchmarks/Blasted_Real/blasted_case140_1.samples\nNumber of solutions returned by sampler: 1\nUsing sampler: KUS\ncmd:  python3  KUS.py --samples=1 --outputfile /tmp/blasted_case140.txt /home/samplingfm/Benchmarks/Blasted_Real/blasted_case140.cnf > /dev/null 2>&1\nNumber of solutions returned by sampler: 1\nUsing sampler: SMARCH\ncmd:  python3 ./samplers/smarch_mp.py -p 4 -o /tmp /tmp/blasted_case140_t.cnf 568 > /dev/null 2>&1\n/tmp/blasted_case140_t_568.samples\nNumber of solutions returned by sampler: 1\nbaseMap: 1      numSolutions: 568    SolutionsCount: 1      loThresh: 82     hiThresh: 485   \nsampler: SMARCH   i: 1    isUniform: 0    TotalSolutionsGenerated: 569   \nexp:0 RejectIteration:1  Loop:2 TotalSolutionsGenerated:569 TotalUniformSamples:1\n',b'',False,FALSE
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case128.cnf,825.873,b'Experiment: 0     of     1\nconstantFactor:39   boundFactor: 14.541336623567457   logBoundFactor: 3.8620879811712894  \ntj: 1789   totalLoops: 2     beta: 0.8181818181818182 epsilon: 0.3       \nnumSolutions: 568   loThresh:82     hiThresh: 485   \n*** Progress *** i: 0 j: 2 ---- 0 / 3578\nUsing sampler: SMARCH\ncmd:  python3 ./samplers/smarch_mp.py -p 4 -o /home/samplingfm/Benchmarks/Blasted_Real /home/samplingfm/Benchmarks/Blasted_Real/blasted_case128.cnf 1 > /dev/null 2>&1\n/home/samplingfm/Benchmarks/Blasted_Real/blasted_case128_1.samples\nNumber of solutions returned by sampler: 1\nUsing sampler: KUS\ncmd:  python3  KUS.py --samples=1 --outputfile /tmp/blasted_case128.txt /home/samplingfm/Benchmarks/Blasted_Real/blasted_case128.cnf > /dev/null 2>&1\nNumber of solutions returned by sampler: 1\nUsing sampler: SMARCH\ncmd:  python3 ./samplers/smarch_mp.py -p 4 -o /tmp /tmp/blasted_case128_t.cnf 568 > /dev/null 2>&1\n/tmp/blasted_case128_t_568.samples\nNumber of solutions returned by sampler: 1\nbaseMap: 1      numSolutions: 568    SolutionsCount: 1      loThresh: 82     hiThresh: 485   \nsampler: SMARCH   i: 1    isUniform: 0    TotalSolutionsGenerated: 569   \nexp:0 RejectIteration:1  Loop:2 TotalSolutionsGenerated:569 TotalUniformSamples:1\n',b'',False,FALSE
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_0_b12_2.cnf,1218.316,b'Experiment: 0     of     1\nconstantFactor:39   boundFactor: 14.541336623567457   logBoundFactor: 3.8620879811712894  \ntj: 1789   totalLoops: 2     beta: 0.8181818181818182 epsilon: 0.3       \nnumSolutions: 568   loThresh:82     hiThresh: 485   \n*** Progress *** i: 0 j: 2 ---- 0 / 3578\nUsing sampler: SMARCH\ncmd:  python3 ./samplers/smarch_mp.py -p 4 -o /home/samplingfm/Benchmarks/Blasted_Real /home/samplingfm/Benchmarks/Blasted_Real/blasted_case_0_b12_2.cnf 1 > /dev/null 2>&1\n/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_0_b12_2_1.samples\nNumber of solutions returned by sampler: 1\nUsing sampler: KUS\ncmd:  python3  KUS.py --samples=1 --outputfile /tmp/blasted_case_0_b12_2.txt /home/samplingfm/Benchmarks/Blasted_Real/blasted_case_0_b12_2.cnf > /dev/null 2>&1\nNumber of solutions returned by sampler: 1\nUsing sampler: SMARCH\ncmd:  python3 ./samplers/smarch_mp.py -p 4 -o /tmp /tmp/blasted_case_0_b12_2_t.cnf 568 > /dev/null 2>&1\n/tmp/blasted_case_0_b12_2_t_568.samples\nNumber of solutions returned by sampler: 1\nbaseMap: 1      numSolutions: 568    SolutionsCount: 1      loThresh: 82     hiThresh: 485   \nsampler: SMARCH   i: 1    isUniform: 0    TotalSolutionsGenerated: 569   \nexp:0 RejectIteration:1  Loop:2 TotalSolutionsGenerated:569 TotalUniformSamples:1\n',b'',False,FALSE
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_3_b14_3.cnf,1078.163,b'Experiment: 0     of     1\nconstantFactor:39   boundFactor: 14.541336623567457   logBoundFactor: 3.8620879811712894  \ntj: 1789   totalLoops: 2     beta: 0.8181818181818182 epsilon: 0.3       \nnumSolutions: 568   loThresh:82     hiThresh: 485   \n*** Progress *** i: 0 j: 2 ---- 0 / 3578\nUsing sampler: SMARCH\ncmd:  python3 ./samplers/smarch_mp.py -p 4 -o /home/samplingfm/Benchmarks/Blasted_Real /home/samplingfm/Benchmarks/Blasted_Real/blasted_case_3_b14_3.cnf 1 > /dev/null 2>&1\n/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_3_b14_3_1.samples\nNumber of solutions returned by sampler: 1\nUsing sampler: KUS\ncmd:  python3  KUS.py --samples=1 --outputfile /tmp/blasted_case_3_b14_3.txt /home/samplingfm/Benchmarks/Blasted_Real/blasted_case_3_b14_3.cnf > /dev/null 2>&1\nNumber of solutions returned by sampler: 1\nUsing sampler: SMARCH\ncmd:  python3 ./samplers/smarch_mp.py -p 4 -o /tmp /tmp/blasted_case_3_b14_3_t.cnf 568 > /dev/null 2>&1\n/tmp/blasted_case_3_b14_3_t_568.samples\nNumber of solutions returned by sampler: 1\nbaseMap: 1      numSolutions: 568    SolutionsCount: 1      loThresh: 82     hiThresh: 485   \nsampler: SMARCH   i: 1    isUniform: 0    TotalSolutionsGenerated: 569   \nexp:0 RejectIteration:1  Loop:2 TotalSolutionsGenerated:569 TotalUniformSamples:1\n',b'',False,FALSE
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case201.cnf,1098.197,b'Experiment: 0     of     1\nconstantFactor:39   boundFactor: 14.541336623567457   logBoundFactor: 3.8620879811712894  \ntj: 1789   totalLoops: 2     beta: 0.8181818181818182 epsilon: 0.3       \nnumSolutions: 568   loThresh:82     hiThresh: 485   \n*** Progress *** i: 0 j: 2 ---- 0 / 3578\nUsing sampler: SMARCH\ncmd:  python3 ./samplers/smarch_mp.py -p 4 -o /home/samplingfm/Benchmarks/Blasted_Real /home/samplingfm/Benchmarks/Blasted_Real/blasted_case201.cnf 1 > /dev/null 2>&1\n/home/samplingfm/Benchmarks/Blasted_Real/blasted_case201_1.samples\nNumber of solutions returned by sampler: 1\nUsing sampler: KUS\ncmd:  python3  KUS.py --samples=1 --outputfile /tmp/blasted_case201.txt /home/samplingfm/Benchmarks/Blasted_Real/blasted_case201.cnf > /dev/null 2>&1\nNumber of solutions returned by sampler: 1\nUsing sampler: SMARCH\ncmd:  python3 ./samplers/smarch_mp.py -p 4 -o /tmp /tmp/blasted_case201_t.cnf 568 > /dev/null 2>&1\n/tmp/blasted_case201_t_568.samples\nNumber of solutions returned by sampler: 1\nbaseMap: 1      numSolutions: 568    SolutionsCount: 1      loThresh: 82     hiThresh: 485   \nsampler: SMARCH   i: 1    isUniform: 0    TotalSolutionsGenerated: 569   \nexp:0 RejectIteration:1  Loop:2 TotalSolutionsGenerated:569 TotalUniformSamples:1\n',b'',False,FALSE
/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b14_1_linear.cnf,3600.102,,,N/A,TRUE
