start_time,formula_file,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time,timeout,execution_time_in
Mon Jun 10 23:27:26 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case10.cnf,328,83,877,36893488147419103232,6,47,10,9,201.56,195.627,195.599,0.027963,False,195.70596480369568
Mon Jun 10 23:27:26 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case4.cnf,103,18,314,32768,3,16,10,10,51.70,0.050587,0.031637,0.01895,False,0.0564579963684082
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b12_1_linear.cnf,,,,,,,,,,,,,True,240.0
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case37.cnf,,,,,,,,,,,,,True,240.0
Mon Jun 10 23:35:27 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case208.cnf,824,165,2128,5846006549323611672814739330865132078623730171904,2,71,10,7,561.00,0.477363,0.137449,0.339914,False,0.48452043533325195
Mon Jun 10 23:35:27 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case25.cnf,68,15,195,512,2,9,10,5,10.00,0.033395,0.021369,0.012026,False,0.0379033088684082
Mon Jun 10 23:35:27 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case26.cnf,53,13,147,1024,3,8,10,7,17.71,0.033132,0.021338,0.011794,False,0.03901028633117676
Mon Jun 10 23:35:27 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case6.cnf,329,52,993,17179869184,3,25,10,10,170.50,0.095199,0.054516,0.040683,False,0.1004476547241211
Mon Jun 10 23:35:27 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case62.cnf,291,33,1165,1073741824,4,22,10,9,77.56,0.061195,0.034538,0.026657,False,0.06724095344543457
Mon Jun 10 23:35:27 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_3_b14_1.cnf,238,45,680,4398046511104,2,26,10,9,116.11,0.295006,0.216007,0.078999,False,0.2996103763580322
Mon Jun 10 23:35:28 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case209.cnf,1189,122,3476,309485009821345068724781056,3,95,10,6,797.33,0.994147,0.589847,0.4043,False,1.0025875568389893
Mon Jun 10 23:35:29 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case40.cnf,245,65,650,36028797018963968,6,25,10,10,116.90,0.277015,0.257123,0.019892,False,0.281095027923584
Mon Jun 10 23:35:29 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring24.cnf,695,61,2193,8388608,2,24,10,7,259.71,0.112025,0.084146,0.027879,False,0.11633682250976562
Mon Jun 10 23:35:47 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case20.cnf,397,69,1126,73786976294838206464,4,46,10,10,298.70,18.0884,17.9457,0.142717,False,18.102365732192993
Mon Jun 10 23:35:47 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case32.cnf,52,13,145,1024,3,8,10,8,12.00,0.010842,0.003772,0.00707,False,0.014421224594116211
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b14_1_linear.cnf,,,,,,,,,,,,,True,240.0
Mon Jun 10 23:39:48 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case214.cnf,645,80,1883,151115727451828646838272,3,79,10,8,472.88,0.83241,0.223578,0.608832,False,0.839606761932373
Mon Jun 10 23:39:48 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring21.cnf,697,61,2203,8388608,2,25,10,8,248.62,0.115639,0.088412,0.027227,False,0.12061095237731934
Mon Jun 10 23:39:48 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case44.cnf,173,22,650,65536,4,20,10,10,29.20,0.028887,0.015972,0.012915,False,0.03306221961975098
Mon Jun 10 23:39:49 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring26.cnf,894,61,3188,28311561,2,35,10,9,381.56,0.455624,0.210289,0.245335,False,0.46081018447875977
Mon Jun 10 23:39:53 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring3.cnf,885,72,2810,68719476736,2,42,10,10,224.70,4.6057,4.54894,0.056761,False,4.624721050262451
Mon Jun 10 23:39:54 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_1_b12_1.cnf,427,37,1382,1073741824,3,33,10,10,107.80,1.0843,1.04341,0.040893,False,1.0895428657531738
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case3_b14_even3.cnf,,,,,,,,,,,,,True,240.0
Mon Jun 10 23:43:55 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case22.cnf,126,16,409,8192,2,13,10,7,35.43,0.019677,0.007408,0.012269,False,0.024017810821533203
Mon Jun 10 23:43:55 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case111.cnf,306,17,1357,16384,2,20,10,8,17.00,0.025534,0.013099,0.012435,False,0.029733896255493164
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_0_b12_even1.cnf,,,,,,,,,,,,,True,240.0
Mon Jun 10 23:47:55 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case28.cnf,51,13,142,1024,3,8,10,5,18.20,0.016577,0.006176,0.010401,False,0.022249937057495117
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_2_b12_even2.cnf,,,,,,,,,,,,,True,240.0
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case107.cnf,,,,,,,,,,,,,True,240.0
Mon Jun 10 23:56:13 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_2_b12_2.cnf,827,45,2721,274877906944,4,39,10,10,325.50,17.5236,14.1234,3.40014,False,17.536609888076782
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case140.cnf,,,,,,,,,,,,,True,240.0
Tue Jun 11 00:00:13 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case110.cnf,287,17,1263,16384,3,21,10,9,26.44,0.051333,0.026878,0.024455,False,0.05779862403869629
Tue Jun 11 00:00:23 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case106.cnf,204,60,508,4398046511104,5,40,10,10,70.30,10.1977,10.1835,0.014226,False,10.210290431976318
Tue Jun 11 00:00:24 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case30.cnf,68,15,195,512,2,9,10,6,8.67,0.020157,0.006552,0.013605,False,0.027469635009765625
Tue Jun 11 00:00:24 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case109.cnf,241,31,915,1048576,3,20,10,10,59.10,0.044055,0.028138,0.015917,False,0.04808974266052246
Tue Jun 11 00:00:25 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring50.cnf,500,42,1965,16777216,4,35,10,10,116.20,1.66058,1.62464,0.035935,False,1.6657617092132568
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_2_b12_even1.cnf,,,,,,,,,,,,,True,240.0
Tue Jun 11 00:04:26 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case7.cnf,116,20,365,131072,2,15,10,9,76.67,0.04058,0.01279,0.02779,False,0.04709196090698242
Tue Jun 11 00:05:21 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case19.cnf,397,69,1126,73786976294838206464,4,48,10,9,310.67,55.1873,53.8083,1.37906,False,55.22324991226196
Tue Jun 11 00:05:21 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring20.cnf,696,61,2198,8388608,2,23,10,9,276.11,0.163507,0.132919,0.030588,False,0.16843175888061523
Tue Jun 11 00:05:22 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case211.cnf,869,83,2925,1208925819614629174706176,3,75,10,10,438.60,0.591941,0.149109,0.442832,False,0.5968763828277588
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_3_4_b14_even.cnf,,,,,,,,,,,,,True,240.0
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case142.cnf,,,,,,,,,,,,,True,240.0
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_ptb_2_linear.cnf,,,,,,,,,,,,,True,240.0
Tue Jun 11 00:17:35 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring8.cnf,1101,72,3642,274408144896,3,38,10,10,297.40,12.47,12.3403,0.129674,False,12.480491161346436
Tue Jun 11 00:17:35 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case101.cnf,72,24,178,2097152,2,19,10,4,49.50,0.022794,0.004088,0.018706,False,0.027364730834960938
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b12_2_linear.cnf,,,,,,,,,,,,,True,240.0
Tue Jun 11 00:21:35 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case41.cnf,245,65,650,36028797018963968,6,25,10,10,148.40,0.321913,0.299155,0.022758,False,0.3279874324798584
Tue Jun 11 00:21:35 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case124.cnf,133,31,385,268435456,4,24,10,9,76.00,0.022498,0.005952,0.016546,False,0.026339054107666016
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring42.cnf,,,,,,,,,,,,,True,240.0
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_0_ptb_2.cnf,,,,,,,,,,,,,True,240.0
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_0_ptb_1.cnf,,,,,,,,,,,,,True,240.0
Tue Jun 11 00:33:37 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case119.cnf,267,59,786,35184372088832,6,30,10,9,138.56,0.753398,0.128986,0.624412,False,0.7598700523376465
Tue Jun 11 00:33:38 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring29.cnf,1141,61,4249,79888860,3,35,10,10,269.80,1.05499,0.940135,0.114859,False,1.062239408493042
Tue Jun 11 00:33:38 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case11.cnf,105,17,369,16384,3,12,10,9,15.78,0.014362,0.005338,0.009024,False,0.01848125457763672
Tue Jun 11 00:33:38 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case35.cnf,400,46,1414,8796093022208,5,34,10,10,241.80,0.392756,0.332678,0.060078,False,0.39696168899536133
Tue Jun 11 00:33:39 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case120.cnf,284,61,850,70368744177664,6,30,10,9,126.00,0.551354,0.415178,0.136176,False,0.5562889575958252
Tue Jun 11 00:34:19 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_0_b14_1.cnf,812,97,2998,604462909807314587353088,11,47,10,9,219.44,40.1028,16.8595,23.2433,False,40.14168739318848
Tue Jun 11 00:34:19 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case55.cnf,149,26,441,1048576,2,10,10,8,38.88,0.031967,0.010352,0.021615,False,0.0383150577545166
Tue Jun 11 00:34:19 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case137.cnf,60,21,146,262144,1,18,10,4,25.00,0.014355,0.003806,0.010549,False,0.019684553146362305
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case141.cnf,,,,,,,,,,,,,True,240.0
Tue Jun 11 00:38:21 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_2_b12_1.cnf,427,37,1382,1073741824,3,33,10,10,122.10,1.14388,1.09687,0.047011,False,1.1509289741516113
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case104.cnf,,,,,,,,,,,,,True,240.0
Tue Jun 11 00:42:21 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case59.cnf,93,19,284,35328,3,9,10,10,18.70,0.024288,0.007387,0.016901,False,0.030397653579711914
Tue Jun 11 00:42:22 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring30.cnf,1031,61,3694,79888860,4,37,10,10,257.70,1.15268,1.04966,0.103017,False,1.1592881679534912
Tue Jun 11 00:42:22 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case68.cnf,178,28,553,131072,1,18,10,10,44.20,0.066287,0.054247,0.01204,False,0.07178807258605957
Tue Jun 11 00:42:22 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case52.cnf,132,21,395,262144,2,11,10,9,59.67,0.019675,0.004812,0.014863,False,0.024814844131469727
Tue Jun 11 00:42:27 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring4.cnf,891,72,2839,68719476736,3,42,10,10,242.70,5.14168,5.07726,0.064418,False,5.151519536972046
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case12.cnf,,,,,,,,,,,,,True,240.0
Tue Jun 11 00:46:28 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case39.cnf,245,65,650,36028797018963968,6,25,10,10,145.40,0.278456,0.256207,0.022249,False,0.284008264541626
Tue Jun 11 00:46:29 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case50.cnf,843,65,3286,4611686018427387904,6,51,10,10,311.40,1.21968,1.12973,0.089952,False,1.2262341976165771
Tue Jun 11 00:47:36 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring16.cnf,1627,72,5835,1865275930882,3,51,10,10,339.60,67.2084,66.9307,0.277633,False,67.23800802230835
Tue Jun 11 00:49:48 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case61.cnf,282,66,751,281474976710656,4,39,10,5,202.00,131.292,113.365,17.9276,False,131.37840223312378
Tue Jun 11 00:49:48 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case136.cnf,211,42,615,549755813888,3,23,10,8,177.38,0.26303,0.204648,0.058382,False,0.2690155506134033
Tue Jun 11 00:49:48 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case203.cnf,214,49,580,70368744177664,3,14,10,9,85.33,0.033917,0.011644,0.022273,False,0.039891958236694336
Tue Jun 11 00:49:55 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring1.cnf,891,72,2839,68719476736,4,39,10,10,266.90,6.7186,6.58836,0.130231,False,6.72759747505188
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring60.cnf,,,,,,,,,,,,,True,240.0
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b12_even3_linear.cnf,,,,,,,,,,,,,True,240.0
Tue Jun 11 00:58:07 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case105.cnf,170,59,407,2199023255552,10,33,10,10,74.40,11.7903,11.7677,0.022514,False,11.80431842803955
Tue Jun 11 00:58:07 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring22.cnf,695,61,2193,8388608,2,24,10,9,278.11,0.140079,0.099453,0.040626,False,0.14588475227355957
Tue Jun 11 00:58:07 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case135.cnf,236,41,708,2097152,1,19,10,10,99.40,0.043474,0.021792,0.021682,False,0.04841804504394531
Tue Jun 11 00:59:36 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring12.cnf,1507,72,5210,1865275930882,3,44,10,10,357.50,88.4325,88.0961,0.336408,False,88.47065424919128
Tue Jun 11 00:59:36 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring25.cnf,846,61,2948,28311561,4,30,10,8,348.12,0.447474,0.246933,0.200541,False,0.45409393310546875
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring41.cnf,,,,,,,,,,,,,True,240.0
Tue Jun 11 01:03:37 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case114.cnf,428,28,1849,33554432,4,31,10,10,130.80,0.287063,0.230595,0.056468,False,0.2930271625518799
Tue Jun 11 01:03:37 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case34.cnf,409,39,1597,68719476736,6,28,10,10,196.90,0.254685,0.209001,0.045684,False,0.26072025299072266
Tue Jun 11 01:03:37 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case100.cnf,72,24,178,2097152,2,19,10,3,50.33,0.017479,0.004213,0.013266,False,0.0224759578704834
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case139.cnf,,,,,,,,,,,,,True,240.0
Tue Jun 11 01:07:37 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case57.cnf,288,32,1158,536870912,4,22,10,10,75.40,0.055151,0.027386,0.027765,False,0.06052041053771973
Tue Jun 11 01:07:37 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_2_b14_2.cnf,270,43,804,1099511627776,2,28,10,10,94.50,0.217942,0.170559,0.047383,False,0.2245635986328125
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b12_even2_linear.cnf,,,,,,,,,,,,,True,240.0
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b14_even2_linear.cnf,,,,,,,,,,,,,True,240.0
Tue Jun 11 01:16:53 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case14.cnf,247,67,649,562949953421312,6,41,10,9,169.67,74.6934,62.8613,11.8321,False,74.75273561477661
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_2_b12_even3.cnf,,,,,,,,,,,,,True,240.0
Tue Jun 11 01:20:53 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_1_b14_2.cnf,270,43,804,1099511627776,2,28,10,9,124.67,0.145213,0.095992,0.049221,False,0.15092062950134277
Tue Jun 11 01:20:58 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring2.cnf,885,72,2810,68719476736,3,42,10,10,224.20,4.63602,4.57339,0.06263,False,4.645681142807007
Tue Jun 11 01:20:58 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case60.cnf,15,7,35,16,0,4,10,4,2.00,0.010793,0.004344,0.006449,False,0.0184018611907959
Tue Jun 11 01:20:58 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_2_b14_1.cnf,238,45,680,4398046511104,2,26,10,9,91.44,0.239112,0.186393,0.052719,False,0.24555110931396484
Tue Jun 11 01:20:58 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case202.cnf,200,45,544,4398046511104,2,12,10,5,114.80,0.026508,0.007203,0.019305,False,0.0319211483001709
Tue Jun 11 01:20:58 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case127.cnf,36,9,104,64,0,8,10,5,10.40,0.011643,0.004239,0.007404,False,0.028936386108398438
Tue Jun 11 01:20:58 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case47.cnf,118,28,327,262144,4,15,10,10,43.10,0.032469,0.01765,0.014819,False,0.03707575798034668
Tue Jun 11 01:20:58 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case46.cnf,176,22,659,65536,4,22,10,10,30.90,0.046038,0.028797,0.017241,False,0.05059957504272461
Tue Jun 11 01:20:59 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_3_b14_2.cnf,270,43,804,1099511627776,2,28,10,10,123.50,0.236233,0.145585,0.090648,False,0.24168777465820312
Tue Jun 11 01:20:59 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case103.cnf,32,11,86,256,1,6,10,7,7.71,0.013189,0.002571,0.010618,False,0.0176088809967041
Tue Jun 11 01:20:59 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case29.cnf,65,14,190,256,1,10,10,8,16.88,0.01652,0.004782,0.011738,False,0.021549463272094727
Tue Jun 11 01:21:25 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_1_b12_2.cnf,827,45,2721,274877906944,4,39,10,10,333.30,26.1049,19.8719,6.23299,False,26.121930837631226
Tue Jun 11 01:21:25 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case54.cnf,203,23,718,1048576,3,20,10,9,58.89,0.051508,0.026301,0.025207,False,0.05796170234680176
Tue Jun 11 01:21:25 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case115.cnf,428,28,1849,33554432,4,30,10,10,96.60,0.243298,0.216363,0.026935,False,0.24894261360168457
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b14_2_linear.cnf,,,,,,,,,,,,,True,240.0
Tue Jun 11 01:25:28 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring28.cnf,1060,61,3840,79888860,5,52,10,10,252.20,2.68309,2.54962,0.133464,False,2.6910951137542725
Tue Jun 11 01:25:28 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case64.cnf,93,19,284,35328,3,9,10,7,15.86,0.018323,0.006485,0.011838,False,0.0245358943939209
Tue Jun 11 01:26:18 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_1_b11_1.cnf,340,48,1023,274877906944,5,39,10,10,131.40,49.7022,49.6779,0.024258,False,49.72977566719055
Tue Jun 11 01:26:18 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case43.cnf,116,17,421,16384,3,15,10,10,18.20,0.046799,0.029514,0.017285,False,0.05281424522399902
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_1_ptb_1.cnf,,,,,,,,,,,,,True,240.0
Tue Jun 11 01:30:18 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case130.cnf,644,96,2056,562949953421312,3,28,10,9,406.78,0.251042,0.180005,0.071037,False,0.25705766677856445
Tue Jun 11 01:33:29 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case15.cnf,296,83,774,36893488147419103232,9,40,10,10,174.00,191.041,191.015,0.025967,False,191.14162921905518
Tue Jun 11 01:33:30 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case8.cnf,160,26,523,8388608,3,22,10,10,66.20,0.055116,0.031246,0.02387,False,0.06145453453063965
Tue Jun 11 01:33:30 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case125.cnf,393,35,1554,4294967296,5,27,10,10,86.70,0.096466,0.066292,0.030174,False,0.10336613655090332
Tue Jun 11 01:33:30 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case144.cnf,765,138,2339,4835703278458516698824704,10,50,10,10,449.10,0.578835,0.299031,0.279804,False,0.5847089290618896
Tue Jun 11 01:33:30 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring27.cnf,837,61,2902,28311561,3,29,10,10,314.00,0.248051,0.118129,0.129922,False,0.2529938220977783
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring40.cnf,,,,,,,,,,,,,True,240.0
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b14_even3_linear.cnf,,,,,,,,,,,,,True,240.0
Tue Jun 11 01:41:32 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case210.cnf,872,83,2933,1208925819614629174706176,3,85,10,8,401.38,0.70136,0.216873,0.484487,False,0.7083806991577148
Tue Jun 11 01:41:32 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case53.cnf,132,21,395,262144,2,11,10,7,63.71,0.018228,0.004528,0.0137,False,0.0224456787109375
Tue Jun 11 01:41:32 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case143.cnf,427,48,1592,134217728,7,25,10,10,148.60,0.189096,0.139765,0.049331,False,0.19307518005371094
Tue Jun 11 01:41:32 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case63.cnf,96,19,298,35328,3,9,10,8,21.12,0.012633,0.003361,0.009272,False,0.016553163528442383
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_ptb_1_linear.cnf,,,,,,,,,,,,,True,240.0
Tue Jun 11 01:45:46 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring10.cnf,1099,72,3632,274408144896,3,42,10,10,286.20,13.874,13.7225,0.151424,False,13.886552572250366
Tue Jun 11 01:46:13 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring7.cnf,1628,72,5837,274408144896,3,35,10,10,277.50,26.6614,26.5175,0.143934,False,26.676705598831177
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b14_3_linear.cnf,,,,,,,,,,,,,True,240.0
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case1_b14_even3.cnf,,,,,,,,,,,,,True,240.0
