start_time,formula_file,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time,timeout,execution_time_in
Mon Jun  1 22:06:40 2020,/home/samplingfm/Benchmarks/IterationService.sk_12_27.cnf,1896,27,6732,159544772187389952,6,40,10,10,531.80,0.786557,0.645265,0.141292,False,0.7928743362426758
Mon Jun  1 22:06:40 2020,/home/samplingfm/Benchmarks/ActivityService2.sk_10_27.cnf,1952,27,6868,8244000746110976,8,26,10,10,463.40,0.266229,0.189044,0.077185,False,0.27192187309265137
,/home/samplingfm/Benchmarks/partition.sk_22_155.cnf,,,,,,,,,,,,,True,1.0
Mon Jun  1 22:06:41 2020,/home/samplingfm/Benchmarks/29.sk_3_45.cnf,8866,45,31557,347892350976,4,12,10,6,49.67,0.206213,0.080255,0.125958,False,0.21743226051330566
Mon Jun  1 22:06:41 2020,/home/samplingfm/Benchmarks/ActivityService.sk_11_27.cnf,1837,27,5968,1804710898040832,4,21,10,8,323.00,0.121524,0.077644,0.04388,False,0.12729501724243164
,/home/samplingfm/Benchmarks/signedAvg.sk_8_1020.cnf,,,,,,,,,,,,,True,1.0
Mon Jun  1 22:06:42 2020,/home/samplingfm/Benchmarks/10.sk_1_46.cnf,1494,46,2215,1081274793984,2,11,10,5,32.80,0.024844,0.00598,0.018864,False,0.030739545822143555
,/home/samplingfm/Benchmarks/isolateRightmost.sk_7_481.cnf,,,,,,,,,,,,,True,1.0
Mon Jun  1 22:06:43 2020,/home/samplingfm/Benchmarks/17.sk_3_45.cnf,10090,45,27056,274877906944,1,5,10,1,0.00,0.034365,0.031289,0.003076,False,0.04387021064758301
Mon Jun  1 22:06:44 2020,/home/samplingfm/Benchmarks/81.sk_5_51.cnf,10775,51,38006,18141941858304,4,13,10,3,307.33,0.554809,0.412129,0.14268,False,0.568610668182373
Mon Jun  1 22:06:44 2020,/home/samplingfm/Benchmarks/7.sk_4_50.cnf,6683,50,24816,2199023255552,1,5,10,1,0.00,0.035594,0.032642,0.002952,False,0.04493069648742676
,/home/samplingfm/Benchmarks/enqueueSeqSK.sk_10_42.cnf,,,,,,,,,,,,,True,1.0
Mon Jun  1 22:06:45 2020,/home/samplingfm/Benchmarks/51.sk_4_38.cnf,3708,38,14594,2617245696,1,9,10,3,25.33,0.04745,0.022687,0.024763,False,0.05450177192687988
,/home/samplingfm/Benchmarks/diagStencilClean.sk_41_36.cnf,,,,,,,,,,,,,True,1.0
Mon Jun  1 22:06:46 2020,/home/samplingfm/Benchmarks/70.sk_3_40.cnf,4670,40,15864,8589934592,1,5,10,1,0.00,0.028828,0.026295,0.002533,False,0.03827381134033203
Mon Jun  1 22:06:46 2020,/home/samplingfm/Benchmarks/tableBasedAddition.sk_240_1024.cnf,1026,1024,961,36893488147419103232,0,0,10,1,0.00,0.004275,0.003975,0.0003,False,0.009542703628540039
,/home/samplingfm/Benchmarks/30.sk_5_76.cnf,,,,,,,,,,,,,True,1.0
Mon Jun  1 22:06:47 2020,/home/samplingfm/Benchmarks/80.sk_2_48.cnf,4969,48,17060,1099511627776,1,5,10,1,0.00,0.02873,0.026226,0.002504,False,0.03795766830444336
Mon Jun  1 22:06:47 2020,/home/samplingfm/Benchmarks/55.sk_3_46.cnf,3128,46,12145,274877906944,1,7,10,4,1.75,0.044641,0.016923,0.027718,False,0.0519716739654541
Mon Jun  1 22:06:47 2020,/home/samplingfm/Benchmarks/PhaseService.sk_14_27.cnf,1686,27,5655,3705491624558592,6,29,10,10,403.00,0.260986,0.186062,0.074924,False,0.26767420768737793
,/home/samplingfm/Benchmarks/sort.sk_8_52.cnf,,,,,,,,,,,,,True,1.0
,/home/samplingfm/Benchmarks/54.sk_12_97.cnf,,,,,,,,,,,,,True,1.0
Mon Jun  1 22:06:50 2020,/home/samplingfm/Benchmarks/doublyLinkedList.sk_8_37.cnf,6890,37,26918,2038431744,4,22,10,10,380.90,0.833974,0.564888,0.269086,False,0.846200704574585
Mon Jun  1 22:06:51 2020,/home/samplingfm/Benchmarks/IssueServiceImpl.sk_8_30.cnf,1393,30,4319,483915270910377984,4,32,10,10,462.60,0.806831,0.729894,0.076937,False,0.8138120174407959
Mon Jun  1 22:06:51 2020,/home/samplingfm/Benchmarks/36.sk_3_77.cnf,8047,77,28733,0,0,0,10,0,-nan,0.026026,1.79769e+308,1.79769e+308,False,0.03343844413757324
Mon Jun  1 22:06:51 2020,/home/samplingfm/Benchmarks/111.sk_2_36.cnf,2348,36,5479,536870912,1,5,10,1,0.00,0.009745,0.009109,0.000636,False,0.015410661697387695
,/home/samplingfm/Benchmarks/NotificationServiceImpl2.sk_10_36.cnf,,,,,,,,,,,,,True,1.0
Mon Jun  1 22:06:52 2020,/home/samplingfm/Benchmarks/107.sk_3_90.cnf,8948,90,40147,18889465931478580854784,1,5,10,1,0.00,0.066635,0.062514,0.004121,False,0.0783684253692627
Mon Jun  1 22:06:53 2020,/home/samplingfm/Benchmarks/84.sk_4_77.cnf,15678,77,70956,36893488147419103232,1,7,10,2,2.50,0.256073,0.132691,0.123382,False,0.2744309902191162
,/home/samplingfm/Benchmarks/LoginService.sk_20_34.cnf,,,,,,,,,,,,,True,1.0
Mon Jun  1 22:06:54 2020,/home/samplingfm/Benchmarks/77.sk_3_44.cnf,14535,44,27573,18253611008,1,5,10,1,0.00,0.076403,0.073642,0.002761,False,0.08960533142089844
Mon Jun  1 22:06:54 2020,/home/samplingfm/Benchmarks/56.sk_6_38.cnf,4842,38,17828,3690987520,1,9,10,3,25.33,0.072378,0.036699,0.035679,False,0.08086872100830078
Mon Jun  1 22:06:54 2020,/home/samplingfm/Benchmarks/79.sk_4_40.cnf,5707,40,21005,0,0,0,10,0,-nan,0.019684,1.79769e+308,1.79769e+308,False,0.026555538177490234
,/home/samplingfm/Benchmarks/listReverse.sk_11_43.cnf,,,,,,,,,,,,,True,1.0
Mon Jun  1 22:06:55 2020,/home/samplingfm/Benchmarks/109.sk_4_36.cnf,3565,36,14012,889192448,2,8,10,3,26.33,0.044091,0.02084,0.023251,False,0.0513615608215332
,/home/samplingfm/Benchmarks/LoginService2.sk_23_36.cnf,,,,,,,,,,,,,True,1.0
,/home/samplingfm/Benchmarks/compress.sk_17_291.cnf,,,,,,,,,,,,,True,1.0
