start_time,formula_file,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time,timeout,execution_time_in
Mon Jun 10 22:19:06 2019,/home/samplingfm/Benchmarks/FeatureModels/XSEngine.cnf,1260,0,2770,20465746440382087936529912643590977513970082939999139929055557568916492561530302110679412575402722502373941138017801081294493092560800,16,36,10,6,663.00,17.6106,17.0065,0.604125,False,17.623015880584717
Mon Jun 10 22:19:15 2019,/home/samplingfm/Benchmarks/FeatureModels/aeb.cnf,1213,0,2721,62158656929883822819223168371063334073112422574166716896263360452573809665338057776443957907814576080520402364611609757200,16,36,10,7,626.29,8.36172,7.8284,0.533322,False,8.370132207870483
Mon Jun 10 22:19:24 2019,/home/samplingfm/Benchmarks/FeatureModels/excalibur_arm9.cnf,1233,0,26008,19150281629676577593982414815761151908593011352995872799135653116129514675546367915329225109946024878038324276735278348443600,14,33,10,8,678.00,9.39656,8.23778,1.15878,False,9.407851219177246
Mon Jun 10 22:19:32 2019,/home/samplingfm/Benchmarks/FeatureModels/ipaq.cnf,1258,0,2822,3328813627920019383959856170288130161924184697654751732757189391239053364942273089107412317775334096958900733327687174587920,17,37,10,5,696.40,7.47838,6.29114,1.18724,False,7.487262964248657
Mon Jun 10 22:19:47 2019,/home/samplingfm/Benchmarks/FeatureModels/integrator_arm9.cnf,1267,0,26076,4058359009533639626886272534103178164739667387222518335105568636716329870954191014758144927057614850667504086770471219270128181200,16,38,10,2,844.00,15.7359,12.5108,3.22507,False,15.750102519989014
Mon Jun 10 22:19:59 2019,/home/samplingfm/Benchmarks/FeatureModels/phycore.cnf,1274,0,2806,32396704602647204579105770930681366361382204874293719652382487586910643207547033036249261219805630738357204504951593519643843764422160,16,34,10,8,682.12,11.5589,10.0844,1.4745,False,11.571067333221436
Mon Jun 10 22:20:03 2019,/home/samplingfm/Benchmarks/FeatureModels/sparc_erc32.cnf,1168,0,2587,31506117330638209963044978072983956210771703423518162467137502207143887426026525283299774751701910447997211646995406800,15,32,10,6,597.33,3.89448,3.83533,0.059155,False,3.9035561084747314
Mon Jun 10 22:20:13 2019,/home/samplingfm/Benchmarks/FeatureModels/integrator_arm7.cnf,1259,0,2906,901857533767702059117370585265472680719171057196169588605434453774884930761461897145120625101012999415684092343888848361650331600,16,36,10,6,781.33,9.99739,7.29807,2.69932,False,10.008482456207275
Mon Jun 10 22:20:27 2019,/home/samplingfm/Benchmarks/FeatureModels/ixdp425.cnf,1247,0,2766,5961867833919365735034150862406148213485309229287867507440217575407752384139068980981149214343329000701690538879366080912138000,16,37,10,5,711.00,13.7803,11.8048,1.97553,False,13.792045593261719
Mon Jun 10 22:20:34 2019,/home/samplingfm/Benchmarks/FeatureModels/adderII.cnf,1276,0,2820,357233331438474273590626824681565857027641819540954698027428669566207833086768331792060153109444189191294237070396678187982800,16,36,10,9,669.11,7.4021,7.31965,0.082451,False,7.4126996994018555
Mon Jun 10 22:20:42 2019,/home/samplingfm/Benchmarks/FeatureModels/lpcmt.cnf,1249,0,2778,37128091317744599575402179011383874999037121164929894272124153053569906046091105256246897401347676166648033913021227632428560,16,37,10,5,739.80,7.73251,5.85071,1.88179,False,7.7419445514678955
Mon Jun 10 22:20:47 2019,/home/samplingfm/Benchmarks/FeatureModels/cq7750.cnf,1267,0,2772,2518121474204249998829150709974012764071762486950219669883634416585276298253070152359575299071609704599530362962861509907504898000,15,32,10,7,592.29,5.48571,5.23782,0.247894,False,5.494269132614136
Mon Jun 10 22:20:56 2019,/home/samplingfm/Benchmarks/FeatureModels/dreamcast.cnf,1252,0,2767,1092332618565423848974055832076369499519871106842678867145924945191427355610618517231560159719131013060082641211227561730000,15,36,10,6,673.00,8.80793,7.2009,1.60703,False,8.817505359649658
Mon Jun 10 22:20:59 2019,/home/samplingfm/Benchmarks/FeatureModels/sparclite_sim.cnf,1168,0,2587,31506117330638209963044978072983956210771703423518162467137502207143887426026525283299774751701910447997211646995406800,15,32,10,6,632.67,3.14564,2.71722,0.428425,False,3.1523783206939697
