start_time,formula_file,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time,timeout,execution_time_in
Mon Jun 10 22:36:28 2019,/home/samplingfm/Benchmarks/FMEasy/ecos-icse11.cnf,1244,0,2748,497468225710631621747603296699889033272954921819172253991278234562183327622958116060862179163892950611831327207015661220531400,16,36,10,6,641.67,23.4204,23.345,0.075442,False,23.43868637084961
,/home/samplingfm/Benchmarks/FMEasy/buildroot.cnf,,,,,,,,,,,,,True,240.0
Mon Jun 10 22:40:29 2019,/home/samplingfm/Benchmarks/FMEasy/uClinux.cnf,1850,0,2468,16296287810675888690147565507275025288411747149327490005089123594835050398106693649467179008,1,1,10,1,0.00,0.023076,0.022378,0.000698,False,0.03057265281677246
,/home/samplingfm/Benchmarks/FMEasy/freetz.cnf,,,,,,,,,,,,,True,240.0
Mon Jun 10 22:44:30 2019,/home/samplingfm/Benchmarks/FMEasy/uClinux-config.cnf,11254,0,31306,7780282347582666916383256525305848268983388653773604443522724031173853171741350594741933711614492676688024705667255837733502753004263416838313034391491978486251776346951575311035705022431463136163671302414562327132408269309241241919789018483288275016458309681886328452290746870938593939271535287735536730704699149530524986444246253774862429009330952716954822585345411917760300627575906229678240454357811200000000000000,7,24,10,10,250.30,1.16528,0.372286,0.79299,False,1.1800808906555176
Mon Jun 10 22:45:59 2019,/home/samplingfm/Benchmarks/FMEasy/coreboot.cnf,12268,0,46758,14017448843572825750122771812482745558507603463493126779853857125177639606854445429057126400000,26,41,10,10,2632.90,89.3693,73.4054,15.9639,False,89.43593239784241
Mon Jun 10 22:46:31 2019,/home/samplingfm/Benchmarks/FMEasy/embtoolkit.cnf,23516,0,179644,210324920435630673724570743755514427656965880430078038010702547881267914255032151966554187404029880871372379219128353940460047419282336629586476226472187600835825656840438129652396045398556914212724386840815402483712000,15,139,10,10,6128.70,31.2849,14.8356,16.4493,False,31.34027910232544
Mon Jun 10 22:46:31 2019,/home/samplingfm/Benchmarks/FMEasy/toybox2.cnf,544,68,1015,144991790900969472,3,4,10,1,0.00,0.009751,0.008816,0.000935,False,0.017557382583618164
Mon Jun 10 22:46:31 2019,/home/samplingfm/Benchmarks/FMEasy/axTLS.cnf,684,0,2121,428726493299198656512,6,8,10,5,118.80,0.547162,0.49083,0.056332,False,0.554408073425293
,/home/samplingfm/Benchmarks/FMEasy/2.6.32-2var.cnf,,,,,,,,,,,,,True,240.0
Mon Jun 10 22:50:32 2019,/home/samplingfm/Benchmarks/FMEasy/busybox-1.18.0.cnf,6796,0,17298,8499026160620020403367645609748828077599547731944348313212511374919300627064386211679237748086064676313113142858080550738779241823829059380356178815074465955879778303194438133158537394351918302936170496000000000000000,6,16,10,10,880.60,0.746941,0.238543,0.508398,False,0.7593562602996826
Mon Jun 10 22:51:45 2019,/home/samplingfm/Benchmarks/FMEasy/freebsd-icse11.cnf,1396,0,54722,83886659159476632821541475613464069971455248240210165215206910546316039002578163924733183958961850461592499728860512499646694699896858084846315191127880690298864146465525305530548618667350438052715195430386302733558963694885445788093958348206554206489857614603328350179806026419578557906399092376441611878400000000,20,36,10,6,637.33,73.0018,68.8492,4.15268,False,73.03461122512817
Mon Jun 10 22:51:45 2019,/home/samplingfm/Benchmarks/FMEasy/fiasco.cnf,1638,0,5198,358108536766464,4,14,10,4,60.25,0.09239,0.060191,0.032199,False,0.10096192359924316
Mon Jun 10 22:51:45 2019,/home/samplingfm/Benchmarks/FMEasy/toybox.cnf,544,68,1015,144991790900969472,3,4,10,1,0.00,0.010243,0.009387,0.000856,False,0.017892837524414062
,/home/samplingfm/Benchmarks/FMEasy/2.6.28.6-icse11.cnf,,,,,,,,,,,,,True,240.0
,/home/samplingfm/Benchmarks/FMEasy/2.6.33.3-2var.cnf,,,,,,,,,,,,,True,240.0
