formula_file,execution_time,timeout,start_time,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,pass1_time,pass2_time
/home/samplingfm/Benchmarks/V15/s5378a_15_7.cnf,5,True,,,,,,,,,,,,
/home/samplingfm/Benchmarks/V15/s420_new_15_7.cnf,0.051776,False,Tue May 28 14:54:57 2019,351,34,934,8589934592,3,19,10,10,137.70,0.021284,0.030492
/home/samplingfm/Benchmarks/V15/s382_15_7.cnf,0.062232,False,Tue May 28 14:54:57 2019,350,24,995,12582912,3,17,10,9,80.56,0.041323,0.020909
/home/samplingfm/Benchmarks/V15/s38417_15_7.cnf,5,True,,,,,,,,,,,,
/home/samplingfm/Benchmarks/V15/s27_new_15_7.cnf,0.023053,False,Tue May 28 14:55:02 2019,17,7,43,48,2,2,10,1,0.00,0.022775,0.000278
/home/samplingfm/Benchmarks/V15/s9234a_15_7.cnf,5,True,,,,,,,,,,,,
/home/samplingfm/Benchmarks/V15/s1196a_15_7.cnf,0.454926,False,Tue May 28 14:55:08 2019,777,32,2165,2076835840,6,24,10,10,117.80,0.423283,0.031643
/home/samplingfm/Benchmarks/V15/s713_15_7.cnf,0.603633,False,Tue May 28 14:55:08 2019,596,54,1477,10099441247715328,8,25,10,10,220.80,0.572513,0.03112
/home/samplingfm/Benchmarks/V15/s526a_15_7.cnf,0.374253,False,Tue May 28 14:55:09 2019,453,24,1304,8388608,5,22,10,10,149.30,0.319582,0.054671
/home/samplingfm/Benchmarks/V15/s344_15_7.cnf,0.055016,False,Tue May 28 14:55:09 2019,284,24,824,8388608,2,16,10,8,73.38,0.038311,0.016705
/home/samplingfm/Benchmarks/V15/s1423a_15_7.cnf,5,True,,,,,,,,,,,,
/home/samplingfm/Benchmarks/V15/s444_15_7.cnf,0.044023,False,Tue May 28 14:55:14 2019,377,24,1072,4132864,4,12,10,9,106.22,0.024715,0.019308
/home/samplingfm/Benchmarks/V15/s15850a_15_7.cnf,5,True,,,,,,,,,,,,
/home/samplingfm/Benchmarks/V15/s349_15_7.cnf,0.049673,False,Tue May 28 14:55:19 2019,285,24,829,8388608,2,16,10,9,72.33,0.031806,0.017867
/home/samplingfm/Benchmarks/V15/s13207a_15_7.cnf,5,True,,,,,,,,,,,,
/home/samplingfm/Benchmarks/V15/s526_15_7.cnf,0.725631,False,Tue May 28 14:55:25 2019,452,24,1303,8388608,3,20,10,10,103.20,0.674533,0.051098
/home/samplingfm/Benchmarks/V15/s27_15_7.cnf,0.013034,False,Tue May 28 14:55:25 2019,32,7,103,70,2,4,10,2,1.00,0.010242,0.002792
/home/samplingfm/Benchmarks/V15/s820a_15_7.cnf,0.160711,False,Tue May 28 14:55:25 2019,685,23,1987,722944,3,10,10,10,36.00,0.112801,0.04791
/home/samplingfm/Benchmarks/V15/s953a_15_7.cnf,0.31171,False,Tue May 28 14:55:25 2019,602,45,1657,10754598109184,5,18,10,10,49.20,0.259949,0.051761
/home/samplingfm/Benchmarks/V15/s420_new1_15_7.cnf,0.10661,False,Tue May 28 14:55:26 2019,366,34,994,8589934592,5,13,10,10,100.10,0.050961,0.055649
/home/samplingfm/Benchmarks/V15/s832a_15_7.cnf,0.116801,False,Tue May 28 14:55:26 2019,693,23,2017,3713024,4,15,10,10,55.30,0.08038,0.036421
/home/samplingfm/Benchmarks/V15/s38584_15_7.cnf,5,True,,,,,,,,,,,,
/home/samplingfm/Benchmarks/V15/s420_15_7.cnf,0.055635,False,Tue May 28 14:55:31 2019,366,34,994,8589934592,5,13,10,9,93.00,0.036884,0.018751
/home/samplingfm/Benchmarks/V15/s35932_15_7.cnf,3.51272,False,Tue May 28 14:55:34 2019,17918,1763,44709,129963788961922925155527272223525248889759152822969598982478268206133349462694020378264180090220579654839599874514419612180976386106376210220493562042913301888845304620868264421256592545404502952102638854528736634485892059852443757377956753998390984615301580132853155973707156964107367668616014712194416056056482606725913079978679270679940813296657164467735060648899374183734198732590185050003596812827829203933098159373681170060471662299062694163616092617576358807330801595092227509791074524423197905810031515196793951480239357952,9,14,10,10,5551.30,1.93297,1.57974
/home/samplingfm/Benchmarks/V15/s1488_15_7.cnf,0.068762,False,Tue May 28 14:55:34 2019,941,14,2783,3872,2,13,10,7,17.57,0.05141,0.017352
/home/samplingfm/Benchmarks/V15/s510_15_7.cnf,0.034882,False,Tue May 28 14:55:34 2019,340,25,948,15073280,3,10,10,8,20.25,0.022248,0.012634
/home/samplingfm/Benchmarks/V15/s641_15_7.cnf,0.430843,False,Tue May 28 14:55:35 2019,576,54,1399,10411799723638784,7,26,10,10,208.00,0.399504,0.031339
/home/samplingfm/Benchmarks/V15/s838_15_7.cnf,0.106747,False,Tue May 28 14:55:35 2019,685,66,1774,36893488147419103232,4,22,10,10,230.40,0.065758,0.040989
/home/samplingfm/Benchmarks/V15/s1238a_15_7.cnf,0.644036,False,Tue May 28 14:55:36 2019,773,32,2210,1734606848,4,28,10,10,74.70,0.613485,0.030551
/home/samplingfm/Benchmarks/V15/s298_15_7.cnf,0.105961,False,Tue May 28 14:55:36 2019,292,17,870,65536,2,15,10,10,60.00,0.08929,0.016671
