1, 39 13 1 -25 40 -41 38 37 36 35 32 -15 -14 -20 -51 -50 -49 -48 47 46 45 44 43 42 -31 30 -29 28 -27 26 24 -23 -22 -21 19 16 -17 4 -3 8 -7 -2 -12 11 -10 -9 -18 -6 -5 34 33 
2, 39 13 1 -25 -40 11 2 -20 -43 -47 -42 -19 -48 -41 -38 -37 -36 -35 -16 15 14 12 9 -4 3 18 17 -6 5 -10 -8 7 -22 -21 -51 -50 -49 46 45 -27 26 24 -23 -44 29 -28 31 -30 -34 -33 -32 
3, 39 13 1 -25 40 -41 38 37 36 35 32 -15 -14 -20 -43 -48 47 42 19 16 -12 11 -9 -4 3 2 18 17 -6 5 -10 8 -7 -22 -21 -51 -50 -49 46 45 -27 26 24 -23 -44 29 -28 -31 30 -34 -33 
4, 39 13 1 -25 40 47 41 -38 -37 -36 -35 15 14 -20 -43 42 19 16 11 -17 4 -3 8 -7 -2 -12 -10 -9 18 6 5 -51 -50 -49 -48 -46 -45 -44 -27 26 -24 23 22 29 -28 -21 31 -30 34 33 -32 
5, 39 13 1 -25 40 47 41 -38 -37 -36 -35 15 14 -20 -43 42 19 16 11 -4 3 2 18 17 -6 5 -8 7 12 -10 9 -22 -21 51 50 -46 -45 -44 27 -26 -24 23 -49 -48 29 -28 31 -30 34 33 -32 
6, 39 13 1 -25 40 -41 38 37 36 35 32 -15 -14 -20 -43 -48 47 42 19 16 -12 11 -9 -4 3 2 18 17 -6 5 10 -8 7 -22 -21 -45 -44 -50 -49 51 46 27 -26 24 -23 -29 28 -31 30 -34 -33 
7, 39 13 1 -25 -40 11 2 -51 -50 -49 -48 -47 -46 -45 -44 -43 -42 -31 30 -29 28 -27 26 -24 23 22 21 20 -41 -38 -37 -36 -35 -32 -19 -16 15 14 12 9 -4 3 18 17 -6 5 10 8 -7 34 33 
8, 39 13 1 -25 40 -41 38 37 36 35 32 -15 -14 -20 -43 -48 47 42 19 16 -17 4 -3 -12 11 10 -9 -8 7 2 18 6 5 -22 -21 -51 -50 -49 46 45 -27 26 24 -23 -44 29 -28 -31 30 -34 -33 
9, 39 13 1 -25 40 -41 38 37 36 35 32 -15 -14 -20 -43 -48 47 42 19 16 -12 11 -9 -4 3 2 18 17 -6 5 10 -8 7 -22 -21 -45 -44 51 50 -46 27 -26 -24 23 -49 29 -28 -31 30 -34 -33 
10, 39 13 1 -25 -40 11 2 -20 -43 -47 -42 -19 -48 -41 -38 -37 -36 -35 -16 15 14 12 9 -4 3 -18 -17 6 -5 -10 -8 7 -22 -21 -45 -44 51 50 -46 27 -26 -24 23 49 31 -30 -29 28 -34 -33 -32 
