start_time,formula_file,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time,timeout,execution_time_in
Fri Jul 10 17:18:51 2020,/home/samplingfm/Benchmarks/V15/s420_15_7.cnf,366,34,994,8589934592,5,13,10,10,103.20,0.054022,0.033678,0.020344,False,0.0946347713470459
Fri Jul 10 17:18:51 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring24.cnf,695,61,2193,8388608,2,24,10,8,268.00,0.113088,0.074927,0.038161,False,0.1280198097229004
Fri Jul 10 17:19:48 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring12.cnf,1507,72,5210,1865275930882,3,44,10,10,323.60,56.3981,56.1553,0.242782,False,56.42441964149475
Fri Jul 10 17:19:48 2020,/home/samplingfm/Benchmarks/V7/s953a_7_4.cnf,533,45,1373,9517647527936,4,18,10,10,49.50,0.092623,0.074193,0.01843,False,0.1077568531036377
Fri Jul 10 17:19:52 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring1.cnf,891,72,2839,68719476736,4,39,10,10,239.60,4.29042,4.22132,0.069102,False,4.303664445877075
Fri Jul 10 17:19:57 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring4.cnf,891,72,2839,68719476736,3,42,10,10,229.20,4.53887,4.47908,0.059798,False,4.554556846618652
Fri Jul 10 17:19:57 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case47.cnf,118,28,327,262144,4,15,10,9,34.44,0.025451,0.011423,0.014028,False,0.03936767578125
Fri Jul 10 17:19:57 2020,/home/samplingfm/Benchmarks/V7/s526a_7_4.cnf,384,24,1020,7340032,5,21,10,10,116.60,0.120392,0.101741,0.018651,False,0.13394618034362793
Fri Jul 10 17:20:25 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring9.cnf,1434,72,5028,274408144896,3,40,10,10,373.90,28.2542,26.0819,2.17229,False,28.27293848991394
Fri Jul 10 17:20:25 2020,/home/samplingfm/Benchmarks/V3/s349_3_2.cnf,198,24,469,8388608,2,15,10,5,54.60,0.027878,0.016717,0.011161,False,0.0407106876373291
