formula_file,execution_time_in,timeout,start_time,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case10.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case4.cnf,0.08772683143615723,False,Fri Jun  5 06:57:12 2020,103,18,314,32768,3,16,10,10,44.90,0.057517,0.034915,0.022602
/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b12_1_linear.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case37.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case208.cnf,0.7416181564331055,False,Fri Jun  5 07:03:13 2020,824,165,2128,5846006549323611672814739330865132078623730171904,2,71,10,10,473.90,0.707801,0.200882,0.506919
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case25.cnf,0.05798840522766113,False,Fri Jun  5 07:03:13 2020,68,15,195,512,2,9,10,8,10.25,0.03322,0.0176,0.01562
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case26.cnf,0.05085158348083496,False,Fri Jun  5 07:03:13 2020,53,13,147,1024,3,8,10,7,15.57,0.030958,0.020311,0.010647
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case6.cnf,0.1648402214050293,False,Fri Jun  5 07:03:13 2020,329,52,993,17179869184,3,25,10,9,172.78,0.141747,0.06997,0.071777
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case62.cnf,0.10285282135009766,False,Fri Jun  5 07:03:13 2020,291,33,1165,1073741824,4,22,10,10,70.60,0.081976,0.047401,0.034575
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_3_b14_1.cnf,0.5240049362182617,False,Fri Jun  5 07:03:14 2020,238,45,680,4398046511104,2,26,10,10,90.70,0.500364,0.352155,0.148209
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case209.cnf,1.385526418685913,False,Fri Jun  5 07:03:15 2020,1189,122,3476,309485009821345068724781056,3,95,10,5,804.60,1.35964,0.949156,0.410483
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case40.cnf,0.3711588382720947,False,Fri Jun  5 07:03:16 2020,245,65,650,36028797018963968,6,25,10,10,132.40,0.350055,0.310308,0.039747
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring24.cnf,0.24413013458251953,False,Fri Jun  5 07:03:16 2020,695,61,2193,8388608,2,24,10,7,293.86,0.218475,0.152194,0.066281
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case20.cnf,21.348584175109863,False,Fri Jun  5 07:03:37 2020,397,69,1126,73786976294838206464,4,46,10,10,289.50,21.3178,21.1601,0.157712
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case32.cnf,0.046457767486572266,False,Fri Jun  5 07:03:38 2020,52,13,145,1024,3,8,10,9,10.89,0.023124,0.01518,0.007944
/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b14_1_linear.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case214.cnf,1.3183915615081787,False,Fri Jun  5 07:06:39 2020,645,80,1883,151115727451828646838272,3,79,10,10,469.30,1.28349,0.395269,0.888224
