start_time,formula_file,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time,timeout,execution_time_in
Fri Jun  5 04:53:04 2020,/home/samplingfm/Benchmarks/36.sk_3_77.cnf,8047,77,28733,0,0,0,10,0,-nan,0.151952,1.79769e+308,1.79769e+308,False,0.5511307716369629
,/home/samplingfm/Benchmarks/partition.sk_22_155.cnf,,,,,,,,,,,,,True,180.0
Fri Jun  5 04:56:04 2020,/home/samplingfm/Benchmarks/109.sk_4_36.cnf,3565,36,14012,889192448,2,8,10,3,26.33,0.127124,0.064826,0.062298,False,0.16311907768249512
Fri Jun  5 04:56:04 2020,/home/samplingfm/Benchmarks/polynomial.sk_7_25.cnf,313,25,1027,64,0,6,10,1,0.00,0.028982,0.027719,0.001263,False,0.04893827438354492
Fri Jun  5 04:56:05 2020,/home/samplingfm/Benchmarks/80.sk_2_48.cnf,4969,48,17060,1099511627776,1,5,10,1,0.00,0.078381,0.073501,0.00488,False,0.10638070106506348
,/home/samplingfm/Benchmarks/isolateRightmost.sk_7_481.cnf,,,,,,,,,,,,,True,180.0
,/home/samplingfm/Benchmarks/logcount.sk_16_86.cnf,,,,,,,,,,,,,True,180.0
,/home/samplingfm/Benchmarks/listReverse.sk_11_43.cnf,,,,,,,,,,,,,True,180.0
Fri Jun  5 05:05:05 2020,/home/samplingfm/Benchmarks/111.sk_2_36.cnf,2348,36,5479,536870912,1,5,10,1,0.00,0.035564,0.0344,0.001164,False,0.07646989822387695
,/home/samplingfm/Benchmarks/log2.sk_72_391.cnf,,,,,,,,,,,,,True,180.0
Fri Jun  5 05:08:06 2020,/home/samplingfm/Benchmarks/71.sk_3_65.cnf,5670,65,14618,533271095898275840,4,17,10,8,156.12,1.13649,0.631353,0.505135,False,1.1732263565063477
Fri Jun  5 05:08:07 2020,/home/samplingfm/Benchmarks/57.sk_4_64.cnf,6917,64,23549,9007199254740992,1,7,10,2,2.00,0.120317,0.066933,0.053384,False,0.14512085914611816
Fri Jun  5 05:08:12 2020,/home/samplingfm/Benchmarks/NotificationServiceImpl2.sk_10_36.cnf,3540,36,13425,139767338668606357504,7,40,10,10,668.90,5.02616,4.66663,0.359531,False,5.051111936569214
Fri Jun  5 05:08:12 2020,/home/samplingfm/Benchmarks/77.sk_3_44.cnf,14535,44,27573,18253611008,1,5,10,1,0.00,0.189147,0.181792,0.007355,False,0.22358083724975586
Fri Jun  5 05:08:12 2020,/home/samplingfm/Benchmarks/32.sk_4_38.cnf,3834,38,13594,2147483648,1,5,10,1,0.00,0.099046,0.095431,0.003615,False,0.12001752853393555
Fri Jun  5 05:08:12 2020,/home/samplingfm/Benchmarks/79.sk_4_40.cnf,5707,40,21005,0,0,0,10,0,-nan,0.057236,1.79769e+308,1.79769e+308,False,0.08269023895263672
Fri Jun  5 05:08:13 2020,/home/samplingfm/Benchmarks/19.sk_3_48.cnf,6993,48,23867,2959802892288,4,10,10,5,55.40,0.452488,0.098417,0.354071,False,0.4823458194732666
Fri Jun  5 05:08:14 2020,/home/samplingfm/Benchmarks/IssueServiceImpl.sk_8_30.cnf,1393,30,4319,483915270910377984,4,32,10,9,468.33,1.41051,1.32846,0.082056,False,1.431875228881836
,/home/samplingfm/Benchmarks/ProcessBean.sk_8_64.cnf,,,,,,,,,,,,,True,180.0
