start_time,formula_file,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time,timeout,execution_time_in
Thu Jun  4 22:34:53 2020,/home/samplingfm/Benchmarks/FMEasy/ecos-icse11.cnf,1244,0,2748,497468225710631621747603296699889033272954921819172253991278234562183327622958116060862179163892950611831327207015661220531400,16,36,10,7,674.43,35.9638,26.8701,9.09373,False,35.991578340530396
,/home/samplingfm/Benchmarks/FMEasy/buildroot.cnf,,,,,,,,,,,,,True,90.0
Thu Jun  4 22:36:24 2020,/home/samplingfm/Benchmarks/FMEasy/uClinux.cnf,1850,0,2468,16296287810675888690147565507275025288411747149327490005089123594835050398106693649467179008,1,1,10,1,0.00,0.020855,0.020311,0.000544,False,0.05197644233703613
,/home/samplingfm/Benchmarks/FMEasy/freetz.cnf,,,,,,,,,,,,,True,90.0
Thu Jun  4 22:37:56 2020,/home/samplingfm/Benchmarks/FMEasy/uClinux-config.cnf,11254,0,31306,7780282347582666916383256525305848268983388653773604443522724031173853171741350594741933711614492676688024705667255837733502753004263416838313034391491978486251776346951575311035705022431463136163671302414562327132408269309241241919789018483288275016458309681886328452290746870938593939271535287735536730704699149530524986444246253774862429009330952716954822585345411917760300627575906229678240454357811200000000000000,7,24,10,10,245.60,1.99724,0.640151,1.35709,False,2.033820867538452
,/home/samplingfm/Benchmarks/FMEasy/coreboot.cnf,,,,,,,,,,,,,True,90.0
Thu Jun  4 22:40:04 2020,/home/samplingfm/Benchmarks/FMEasy/embtoolkit.cnf,23516,0,179644,210324920435630673724570743755514427656965880430078038010702547881267914255032151966554187404029880871372379219128353940460047419282336629586476226472187600835825656840438129652396045398556914212724386840815402483712000,15,139,10,10,5843.80,38.2732,16.8896,21.3836,False,38.344945192337036
Thu Jun  4 22:40:04 2020,/home/samplingfm/Benchmarks/FMEasy/toybox2.cnf,544,68,1015,144991790900969472,3,4,10,1,0.00,0.007673,0.007166,0.000507,False,0.02098560333251953
Thu Jun  4 22:40:04 2020,/home/samplingfm/Benchmarks/FMEasy/axTLS.cnf,684,0,2121,428726493299198656512,6,8,10,5,114.40,0.095943,0.051089,0.044854,False,0.1168668270111084
,/home/samplingfm/Benchmarks/FMEasy/2.6.32-2var.cnf,,,,,,,,,,,,,True,90.0
Thu Jun  4 22:41:36 2020,/home/samplingfm/Benchmarks/FMEasy/busybox-1.18.0.cnf,6796,0,17298,8499026160620020403367645609748828077599547731944348313212511374919300627064386211679237748086064676313113142858080550738779241823829059380356178815074465955879778303194438133158537394351918302936170496000000000000000,6,16,10,10,889.70,1.06535,0.170639,0.894714,False,1.0976321697235107
,/home/samplingfm/Benchmarks/FMEasy/freebsd-icse11.cnf,,,,,,,,,,,,,True,90.0
Thu Jun  4 22:43:06 2020,/home/samplingfm/Benchmarks/FMEasy/fiasco.cnf,1638,0,5198,358108536766464,4,14,10,4,60.75,0.082727,0.054529,0.028198,False,0.11484265327453613
Thu Jun  4 22:43:06 2020,/home/samplingfm/Benchmarks/FMEasy/toybox.cnf,544,68,1015,144991790900969472,3,4,10,1,0.00,0.014619,0.013723,0.000896,False,0.03315019607543945
,/home/samplingfm/Benchmarks/FMEasy/2.6.28.6-icse11.cnf,,,,,,,,,,,,,True,90.0
,/home/samplingfm/Benchmarks/FMEasy/2.6.33.3-2var.cnf,,,,,,,,,,,,,True,90.0
